# Project ID: Identification and application of gene expression signatures associated with lifespan extension (SRA: PRJNA545276; PMID: 31353263)							
# The following line(s) allow to specify the contrasts needed for comparative analyses, such as DEG identification. All possible comparisons can be specified with 'CMPset: ALL'.							
# <CMP> CMPset1: Control.F.12-Acarbose.F.12, Control.M.12-Acarbose.M.12, Control.F.12-CR.F.12, Control.M.12-CR.M.12, GHRKOControl.M-GHRKO.M , Control.F.12-Rapamycin.F.12,  Control.M.12-Rapamycin.M.12, SnellDwarfMiceControl.M-SnellDwarfMice.M, Control.F.6-Acarbose.F.6, Control.M.6-Acarbose.M.6, Control.F.6-CR.F.6, Control.M.6-CR.M.6, Control.F.6-Rapamycin.F.6,  Control.M.6-Rapamycin.M.6, Control.F.6-Protandim.F.6, Control.F.6-Protandim.M.6, Control.F.6-alphaestradiol.F.6, Control.M.6-alphaestradiol.M.6, MRControl.M-MethionineRestriction.M							
# <CMP> CMPset2: ALL							
FileName1	FileName2	SampleName	Factor	SampleLong	Experiment	Date	Gender
/rhome/slokr001/shared/slokray/data/SRR9119201_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119201_2.fastq.gz	Acarbose.F.1	Acarbose.F.12	Acarbose.F.1.Acarbose.F.12	SRX5893229	2019-07-28 11:50:22	F
/rhome/slokr001/shared/slokray/data/SRR9119202_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119202_2.fastq.gz	Acarbose.F.2	Acarbose.F.12	Acarbose.F.2.Acarbose.F.12	SRX5893230	2019-07-28 11:50:22	F
/rhome/slokr001/shared/slokray/data/SRR9119203_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119203_2.fastq.gz	Acarbose.F.3	Acarbose.F.12	Acarbose.F.3.Acarbose.F.12	SRX5893231	2019-07-28 11:50:22	F
/rhome/slokr001/shared/slokray/data/SRR9119204_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119204_2.fastq.gz	Acarbose.M.1	Acarbose.M.12	Acarbose.M.1.Acarbose.M.12	SRX5893232	2019-07-28 11:50:22	M
/rhome/slokr001/shared/slokray/data/SRR9119205_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119205_2.fastq.gz	Acarbose.M.2	Acarbose.M.12	Acarbose.M.2.Acarbose.M.12	SRX5893233	2019-07-28 11:50:22	M
/rhome/slokr001/shared/slokray/data/SRR9119206_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119206_2.fastq.gz	Acarbose.M.3	Acarbose.M.12	Acarbose.M.3.Acarbose.M.12	SRX5893234	2019-07-28 11:50:22	M
/rhome/slokr001/shared/slokray/data/SRR9119207_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119207_2.fastq.gz	CR.F.1	CR.F.12	CR.F.1.CR.F.12	SRX5893235	2019-07-28 11:50:22	F
/rhome/slokr001/shared/slokray/data/SRR9119208_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119208_2.fastq.gz	CR.F.2	CR.F.12	CR.F.2.CR.F.12	SRX5893236	2019-07-28 11:50:22	F
/rhome/slokr001/shared/slokray/data/SRR9119209_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119209_2.fastq.gz	CR.F.3	CR.F.12	CR.F.3.CR.F.12	SRX5893237	2019-07-28 11:50:22	F
/rhome/slokr001/shared/slokray/data/SRR9119210_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119210_2.fastq.gz	CR.M.1	CR.M.12	CR.M.1.CR.M.12	SRX5893238	2019-07-28 11:50:22	M
