# Project ID: Identification and application of gene expression signatures associated with lifespan extension (SRA: PRJNA545276; PMID: 31353263)							
# The following line(s) allow to specify the contrasts needed for comparative analyses, such as DEG identification. All possible comparisons can be specified with 'CMPset: ALL'.							
# <CMP> CMPset1: Control.F-Acarbose.F, Control.M-Acarbose.M, Control.F-CR.F, Control.M-CR.M, GHRKOControl.M-GHRKO.M , Control.F-Rapamycin.F,  Control.M-Rapamycin.M, SnellDwarfMiceControl.M-SnellDwarfMice.M, Control.F-Protandim.F, Control.M-Protandim.M, Control.F-alphaestradiol.F, Control.M-alphaestradiol.M, MRControl.M-MethionineRestriction.M							
# <CMP> CMPset2: ALL							
FileName1	FileName2	SampleName	Factor	SampleLong	Experiment	Date	Gender
/rhome/slokr001/shared/slokray/data/SRR9119201_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119201_2.fastq.gz	Acarbose.F.1	Acarbose.F	Acarbose.F.1.Acarbose.F	SRX5893229	2019-07-28 11:50:22	F
/rhome/slokr001/shared/slokray/data/SRR9119202_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119202_2.fastq.gz	Acarbose.F.2	Acarbose.F	Acarbose.F.2.Acarbose.F	SRX5893230	2019-07-28 11:50:22	F
/rhome/slokr001/shared/slokray/data/SRR9119203_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119203_2.fastq.gz	Acarbose.F.3	Acarbose.F	Acarbose.F.3.Acarbose.F	SRX5893231	2019-07-28 11:50:22	F
/rhome/slokr001/shared/slokray/data/SRR9119204_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119204_2.fastq.gz	Acarbose.M.1	Acarbose.M	Acarbose.M.1.Acarbose.M	SRX5893232	2019-07-28 11:50:22	M
/rhome/slokr001/shared/slokray/data/SRR9119205_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119205_2.fastq.gz	Acarbose.M.2	Acarbose.M	Acarbose.M.2.Acarbose.M	SRX5893233	2019-07-28 11:50:22	M
/rhome/slokr001/shared/slokray/data/SRR9119206_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119206_2.fastq.gz	Acarbose.M.3	Acarbose.M	Acarbose.M.3.Acarbose.M	SRX5893234	2019-07-28 11:50:22	M
/rhome/slokr001/shared/slokray/data/SRR9119207_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119207_2.fastq.gz	CR.F.1	CR.F	CR.F.1.CR.F	SRX5893235	2019-07-28 11:50:22	F
/rhome/slokr001/shared/slokray/data/SRR9119208_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119208_2.fastq.gz	CR.F.2	CR.F	CR.F.2.CR.F	SRX5893236	2019-07-28 11:50:22	F
/rhome/slokr001/shared/slokray/data/SRR9119209_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119209_2.fastq.gz	CR.F.3	CR.F	CR.F.3.CR.F	SRX5893237	2019-07-28 11:50:22	F
/rhome/slokr001/shared/slokray/data/SRR9119210_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119210_2.fastq.gz	CR.M.1	CR.M	CR.M.1.CR.M	SRX5893238	2019-07-28 11:50:22	M
/rhome/slokr001/shared/slokray/data/SRR9119211_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119211_2.fastq.gz	CR.M.2	CR.M	CR.M.2.CR.M	SRX5893239	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119212_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119212_2.fastq.gz	CR.M.3	CR.M	CR.M.3.CR.M	SRX5893240	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119213_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119213_2.fastq.gz	Control.F.1	Control.F	Control.F.1.Control.F	SRX5893241	2019-07-28 11:50:23	F
/rhome/slokr001/shared/slokray/data/SRR9119214_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119214_2.fastq.gz	Control.F.2	Control.F	Control.F.2.Control.F	SRX5893242	2019-07-28 11:50:23	F
/rhome/slokr001/shared/slokray/data/SRR9119215_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119215_2.fastq.gz	Control.F.3	Control.F	Control.F.3.Control.F	SRX5893243	2019-07-28 11:50:23	F
/rhome/slokr001/shared/slokray/data/SRR9119216_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119216_2.fastq.gz	Control.M.1	Control.M	Control.M.1.Control.M	SRX5893244	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119217_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119217_2.fastq.gz	Control.M.2	Control.M	Control.M.2.Control.M	SRX5893245	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119218_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119218_2.fastq.gz	Control.M.3	Control.M	Control.M.3.Control.M	SRX5893246	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119219_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119219_2.fastq.gz	GHRKO.M.1	GHRKO.M	GHRKO.M.1.GHRKO.M	SRX5893247	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119220_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119220_2.fastq.gz	GHRKO.M.2	GHRKO.M	GHRKO.M.2.GHRKO.M	SRX5893248	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119221_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119221_2.fastq.gz	GHRKO.M.3	GHRKO.M	GHRKO.M.3.GHRKO.M	SRX5893249	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119222_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119222_2.fastq.gz	GHRKOControl.M.1	GHRKOControl.M	GHRKOControl.M.1.GHRKOControl.M	SRX5893250	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119223_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119223_2.fastq.gz	GHRKOControl.M.2	GHRKOControl.M	GHRKOControl.M.2.GHRKOControl.M	SRX5893251	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119224_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119224_2.fastq.gz	GHRKOControl.M.3	GHRKOControl.M	GHRKOControl.M.3.GHRKOControl.M	SRX5893252	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119225_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119225_2.fastq.gz	Rapamycin.F.1	Rapamycin.F	Rapamycin.F.1.Rapamycin.F	SRX5893253	2019-07-28 11:50:23	F
/rhome/slokr001/shared/slokray/data/SRR9119226_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119226_2.fastq.gz	Rapamycin.F.2	Rapamycin.F	Rapamycin.F.2.Rapamycin.F	SRX5893254	2019-07-28 11:50:23	F
/rhome/slokr001/shared/slokray/data/SRR9119227_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119227_2.fastq.gz	Rapamycin.F.3	Rapamycin.F	Rapamycin.F.3.Rapamycin.F	SRX5893255	2019-07-28 11:50:23	F
/rhome/slokr001/shared/slokray/data/SRR9119228_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119228_2.fastq.gz	Rapamycin.M.1	Rapamycin.M	Rapamycin.M.1.Rapamycin.M	SRX5893256	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119229_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119229_2.fastq.gz	Rapamycin.M.2	Rapamycin.M	Rapamycin.M.2.Rapamycin.M	SRX5893257	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119230_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119230_2.fastq.gz	Rapamycin.M.3	Rapamycin.M	Rapamycin.M.3.Rapamycin.M	SRX5893258	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119231_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119231_2.fastq.gz	SnellDwarfMice.M.1	SnellDwarfMice.M	SnellDwarfMice.M.1.SnellDwarfMice.M	SRX5893259	2019-07-28 11:50:23	M
/rhome/slokr001/shared/slokray/data/SRR9119232_1.fastq.gz	/rhome/slokr001/shared/slokray/data/SRR9119232_2.fastq.gz	SnellDwarfMice.M.2	SnellDwarfMice.M	SnellDwarfMice.M.2.SnellDwarfMice.M	SRX5893260	2019-07-28 11:50:23	M
