"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"GO:0001775 - cell activation",0.473818646232439,0.998722860791826,0.059476028695732,0.278288727437687,1.00559937433741,20,"11551, 18646, 74748, 72310, 15002, 74015, 272382, 21940, 16847, 74481, 16818, 16019, 20304, 320484, 16797, 108723, 70450, 12482","./csvs/individual_treatments/Control.F.12-Acarbose.F.12.csv"
"GO:0001816 - cytokine production",0.703252032520325,0.998722860791826,0.0439759278026345,0.245117876835001,0.807765986412896,15,"623121, 11551, 102639543, 100033459, 110751, 332579, 236312, 21940, 16994, 20304, 381308, 108723, 226695","./csvs/individual_treatments/Control.F.12-Acarbose.F.12.csv"
"GO:0001817 - regulation of cytokine production",0.703252032520325,0.998722860791826,0.0439759278026345,0.245117876835001,0.807765986412896,15,"623121, 11551, 102639543, 100033459, 110751, 332579, 236312, 21940, 16994, 20304, 381308, 108723, 226695","./csvs/individual_treatments/Control.F.12-Acarbose.F.12.csv"
"GO:0002376 - immune system process",0.0939977349943375,0.998722860791826,0.152144922367565,0.319247652816785,1.38804585894016,43,"11537, 12945, 623121, 640340, 434039, 692165, 13214, 18646, 102639543, 74748, 100033459, 19200, 667865, 72310, 15002, 626578, 332579, 74015, 21822, 236312, 272382, 21940, 16847, 246177, 74481, 16994, 16818, 16019, 20304, 320484, 16797, 381308, 108723, 70450, 100702, 17329, 226695, 12482","./csvs/individual_treatments/Control.F.12-Acarbose.F.12.csv"
"GO:0002521 - leukocyte differentiation",0.528350515463918,0.998722860791826,0.0547939500773363,0.268596160657028,0.944051822601305,18,"623121, 102639543, 74748, 100033459, 236312, 272382, 21940, 16847, 74481, 16818, 16019, 20304, 381308, 108723, 226695, 12482","./csvs/individual_treatments/Control.F.12-Acarbose.F.12.csv"
"GO:0002682 - regulation of immune system process",0.478527607361963,0.998722860791826,0.0571258510018113,0.263165441279348,0.990794882037663,24,"11537, 623121, 102639543, 74748, 100033459, 15002, 332579, 74015, 236312, 21940, 246177, 16818, 16019, 20304, 320484, 16797, 381308, 108723, 70450, 226695, 12482","./csvs/individual_treatments/Control.F.12-Acarbose.F.12.csv"
"GO:0002684 - positive regulation of immune system process",0.289910600255428,0.998722860791826,0.0843144320642653,0.327969855812262,1.18512267759817,20,"11537, 623121, 102639543, 100033459, 15002, 332579, 74015, 236312, 21940, 246177, 16818, 16019, 20304, 320484, 381308, 108723, 70450, 226695, 12482","./csvs/individual_treatments/Control.F.12-Acarbose.F.12.csv"
"GO:0006139 - nucleobase-containing compound metabolic process",0.968347010550996,0.998722860791826,0.0210003441275487,0.132626720428443,0.518560790659075,27,"623121, 11551, 19716, 102639543, 100033459, 432530, 12842, 381867, 207259, 332579, 236312, 272382, 79456, 74481, 244058, 319582, 381308, 108723, 226695, 22780, 17472, 103551, 15357, 22042","./csvs/individual_treatments/Control.F.12-Acarbose.F.12.csv"
"GO:0006351 - DNA-templated transcription",0.980222496909765,0.998722860791826,0.0233667307764121,0.124852800995823,0.466975571314158,23,"623121, 19716, 102639543, 100033459, 432530, 12842, 381867, 207259, 332579, 236312, 272382","./csvs/individual_treatments/Control.F.12-Acarbose.F.12.csv"
"GO:0006355 - regulation of DNA-templated transcription",0.980222496909765,0.998722860791826,0.0233667307764121,0.124852800995823,0.466975571314158,23,"623121, 19716, 102639543, 100033459, 432530, 12842, 381867, 207259, 332579, 236312, 272382","./csvs/individual_treatments/Control.F.12-Acarbose.F.12.csv"
