"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"mmu00010 (00010) - Glycolysis / Gluconeogenesis",0.595779220779221,0.787966066191873,0.059989249649033,0.359868491739159,0.911641258148038,24,"68738, 18770, 56421, 15277, 11670, 18746, 60525","Control.F.12-Acarbose.F.12_logFC"
"mmu00040 (00040) - Pentose and glucuronate interconversions",0.000833018490101953,0.0113845860313934,0.477270815362862,-0.748713778865926,-1.89161119474294,17,"11997, 22235, 394432, 72535, 394433, 394434, 100559, 71773, 110006, 68631, 22238, 394436","Control.F.12-Acarbose.F.12_logFC"
"mmu00071 (00071) - Fatty acid degradation",0.00401485965906729,0.0411523115054397,0.407017918923954,-0.703272800909713,-1.77680542379501,17,"13118, 277753, 13119, 72535, 13117, 74205, 50790, 666168","Control.F.12-Acarbose.F.12_logFC"
"mmu00140 (00140) - Steroid hormone biosynthesis",0.0179773665818101,0.13401309633713,0.352487857583619,-0.596071943576753,-1.66724556834138,25,"13070, 13112, 20860, 13074, 13114, 394432, 27400, 394433, 394434, 100559, 71773, 22238, 53973, 394436, 78925","Control.F.12-Acarbose.F.12_logFC"
"mmu00190 (00190) - Oxidative phosphorylation",0.128455284552846,0.390123456790123,0.156312403073186,0.547616498078041,1.34952265837536,21,"12862, 12869","Control.F.12-Acarbose.F.12_logFC"
"mmu00230 (00230) - Purine metabolism",0.954887218045113,1,0.0346410167413251,0.232168906644717,0.635423937889749,38,"432530, 18770, 18578, 209558, 18746, 18573, 29863, 72090","Control.F.12-Acarbose.F.12_logFC"
"mmu00260 (00260) - Glycine, serine and threonine metabolism",0.8,0.974885408708938,0.0642140881844605,-0.297835671407907,-0.737323666146088,15,"11655, 12116, 14711, 107869, 192166","Control.F.12-Acarbose.F.12_logFC"
"mmu00330 (00330) - Arginine and proline metabolism",0.0641975308641975,0.26320987654321,0.282013350011725,-0.604158654810027,-1.50345458107867,16,"12715, 18242, 18452, 72535, 20810","Control.F.12-Acarbose.F.12_logFC"
"mmu00480 (00480) - Glutathione metabolism",0.0726214180936909,0.270679831076484,0.287805130535564,-0.513839905511867,-1.43723809606097,25,"14857, 14858, 14860, 20810, 269951, 67305, 14872, 14630, 14873, 18263, 76263, 14854, 14864","Control.F.12-Acarbose.F.12_logFC"
"mmu00500 (00500) - Starch and sucrose metabolism",0.0569196638701565,0.259300690964046,0.321775918075361,-0.522381704997496,-1.42771293896357,23,"58866, 22235, 394432, 394433, 394434, 100559, 71773, 110006, 22238, 394436, 70974, 103988, 72094","Control.F.12-Acarbose.F.12_logFC"
"mmu00561 (00561) - Glycerolipid metabolism",0.377777777777778,0.673429951690821,0.107554375265169,-0.431801427996159,-1.07454197646357,16,"11997, 18946, 72535","Control.F.12-Acarbose.F.12_logFC"
"mmu00590 (00590) - Arachidonic acid metabolism",0.0254966012146186,0.160824715353748,0.352487857583619,-0.548521273585701,-1.61932245901979,31,"13118, 19215, 12408, 277753, 13119, 66350, 13096, 13097, 72082, 13117","Control.F.12-Acarbose.F.12_logFC"
"mmu00591 (00591) - Linoleic acid metabolism",0.00928163425090765,0.0845660009527142,0.380730400722792,-0.692259174714827,-1.72269356605677,16,"13112, 66350, 13114, 13077, 13096, 13097, 72082","Control.F.12-Acarbose.F.12_logFC"
"mmu00830 (00830) - Retinol metabolism",7.92568185056976e-06,0.00064990591174672,0.593325476396405,-0.695592590293927,-2.15097323552989,39,"13118, 13112, 13087, 13086, 277753, 13119, 546726, 19683, 13114, 13077, 394432, 394433, 13096, 13082, 13097, 72082, 394434, 100559, 13117, 71773, 22238, 53973, 394436, 666168, 13098","Control.F.12-Acarbose.F.12_logFC"
"mmu00860 (00860) - Porphyrin and chlorophyll metabolism",0.0641975308641975,0.26320987654321,0.282013350011725,-0.594889143755954,-1.48038731431413,16,"11655, 394432, 394433, 394434, 100559, 71773, 110006, 22238, 17025, 394436, 72094, 14319","Control.F.12-Acarbose.F.12_logFC"
"mmu00980 (00980) - Metabolism of xenobiotics by cytochrome P450",0.00021937696731783,0.00449722783001551,0.518848077743792,-0.612528915781965,-1.93677217096829,43,"13112, 14857, 14858, 13114, 13077, 394432, 394433, 13096, 13097, 72082, 14860, 394434, 100559, 71773, 14872, 22238, 14873, 53973, 394436, 13098, 76263, 107141, 72094, 13094, 14864","Control.F.12-Acarbose.F.12_logFC"
