"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"R-MMU-109581 (R-MMU-109581) - Apoptosis",0.996551724137931,1,0.0716527366829457,-0.158634855321231,-0.509905641246009,48,"14453, 17087, 16646, 19058, 18260, 12550, 13063, 16905, 22629, 26419, 16211","Control.F.12-Acarbose.F.12_logFC"
"R-MMU-109582 (R-MMU-109582) - Hemostasis",0.112529002320186,0.780201082753287,0.139599673451922,0.358033518917529,1.21978014483733,207,"11551, 268591, 12842, 14675, 16411, 16818, 11601, 18793, 11472, 238393, 12843, 104709, 19152, 94176, 18574, 19354, 14127, 19363, 16401, 18591, 12512, 18439, 11600, 14733, 109821, 14708, 19039, 240334, 20540, 14710, 16552, 20909, 16580, 13449, 56193, 54216, 16572, 18573, 19241, 26934, 110524, 13645","Control.F.12-Acarbose.F.12_logFC"
"R-MMU-109606 (R-MMU-109606) - Intrinsic Pathway for Apoptosis",0.875,1,0.0399218624292714,0.286979855103198,0.681954686612298,20,"55948, 171543, 69146, 12018","Control.F.12-Acarbose.F.12_logFC"
"R-MMU-110313 (R-MMU-110313) - Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template",0.511627906976744,1,0.0650877566917313,0.433236588264577,0.976665202975071,15,"74153, 100038882, 56791, 68240, 69745, 72151, 69263, 19891","Control.F.12-Acarbose.F.12_logFC"
"R-MMU-111465 (R-MMU-111465) - Apoptotic cleavage of cellular proteins",0.883522727272727,1,0.0679922591544058,-0.24955312676584,-0.657280872647822,18,"14453, 18260, 12550, 16905","Control.F.12-Acarbose.F.12_logFC"
"R-MMU-111885 (R-MMU-111885) - Opioid Signalling",0.172043010752688,0.900756848950005,0.128788713061714,0.521487136492152,1.26832586805912,23,"432530, 14675, 18574, 11513, 14708, 14710, 18573","Control.F.12-Acarbose.F.12_logFC"
"R-MMU-112310 (R-MMU-112310) - Neurotransmitter release cycle",0.706214689265537,1,0.0791316651768349,-0.307684661304914,-0.824744121867189,19,"20511, 15481, 214084, 14412, 67760, 216456","Control.F.12-Acarbose.F.12_logFC"
"R-MMU-112314 (R-MMU-112314) - Neurotransmitter receptors and postsynaptic signal transmission",0.0253890152953402,0.314340189370879,0.352487857583619,0.556685406445055,1.48532051710468,38,"432530, 53623, 11472, 11513, 14809, 54393, 12322, 11438, 110902, 23859, 14708, 14710, 52589","Control.F.12-Acarbose.F.12_logFC"
"R-MMU-112315 (R-MMU-112315) - Transmission across Chemical Synapses",0.09366391184573,0.726943793429547,0.169570644405628,0.466321818533024,1.34367529355342,60,"432530, 53623, 11472, 207777, 11513, 14809, 54393, 12322, 67111, 11438, 110902, 15567, 23859, 14708, 14710, 52589","Control.F.12-Acarbose.F.12_logFC"
"R-MMU-112316 (R-MMU-112316) - Neuronal System",0.160737812911726,0.900756848950005,0.122679189568808,0.404051751570543,1.22752236022405,83,"432530, 53623, 11472, 207777, 72258, 11513, 15168, 14809, 54393, 12322, 67111, 11438, 110902, 15567, 23859, 14708, 14710, 52589","Control.F.12-Acarbose.F.12_logFC"
