"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"R-MMU-168256 (R-MMU-168256) - Immune System",0.74331550802139,0.74331550802139,0.0408229003677776,0.228405291688693,0.764721904487562,16,"11537, 13214, 19200, 12842, 332579, 21940, 16411, 16994, 16818, 16797, 381308, 108723, 70450, 226695","./csvs/individual_treatments/Control.F.12-Acarbose.F.12.csv"
"R-MMU-1430728 (R-MMU-1430728) - Metabolism",0.15008431703204,0.15008431703204,0.14641623786055,-0.339562616773185,-1.32511930020058,22,"22227, 56050, 171281, 100042314, 14857, 330962, 14858, 14262, 13086, 232174, 13117, 56185","./csvs/individual_treatments/Control.M.12-Acarbose.M.12.csv"
"R-MMU-1266738 (R-MMU-1266738) - Developmental Biology",0.0216187985743583,0.0486422967923063,0.352487857583619,-0.504716617541268,-1.80688196189789,16,"110308, 53857, 12575, 20349, 110596, 18772, 15519, 19041, 73710, 22151, 99681, 16669, 67951","./csvs/individual_treatments/Control.F.12-CR.F.12.csv"
"R-MMU-1280218 (R-MMU-1280218) - Adaptive Immune System",0.659574468085106,0.659574468085106,0.0593487680335629,-0.229314420803783,-0.820944023146888,16,"53857, 19041, 73710, 22151, 67951, 16768, 22146, 15985, 72194, 17444, 74492, 231670, 12478, 379043, 243958, 16924","./csvs/individual_treatments/Control.F.12-CR.F.12.csv"
"R-MMU-1430728 (R-MMU-1430728) - Metabolism",4.29692109719971e-06,1.93361449373987e-05,0.610526878385931,-0.54158305122838,-2.58861896029636,40,"110115, 13070, 22227, 12683, 70861, 13079, 13072, 15492, 22229, 20845, 269642, 11997, 112417","./csvs/individual_treatments/Control.F.12-CR.F.12.csv"
"R-MMU-162582 (R-MMU-162582) - Signal Transduction",0.0388198757763975,0.0698757763975155,0.287857117255149,-0.345034006102579,-1.6275850779744,38,"17200, 22355, 53857, 22042, 18211, 12575, 53376, 110596, 373864, 15507, 19088, 97114, 20423, 19049, 15519, 232174, 73710, 18218, 22151","./csvs/individual_treatments/Control.F.12-CR.F.12.csv"
"R-MMU-168256 (R-MMU-168256) - Immune System",0.473186119873817,0.532334384858044,0.0697792517076235,-0.220588235294118,-0.979135473254859,31,"12652, 53857, 97114, 18772, 15519, 19041, 73710, 22151, 67951, 16768, 22146, 16592, 15985, 19200, 66824, 241633, 216233, 72194, 17444, 74492, 66934, 56485, 231670, 16181, 66222, 12478, 379043, 243958, 16924, 16411, 245527","./csvs/individual_treatments/Control.F.12-CR.F.12.csv"
"R-MMU-211859 (R-MMU-211859) - Biological oxidations",0.0011848179149533,0.0035544537448599,0.45505986738723,-0.618132784608674,-2.17191578681668,15,"110115, 13070, 13079, 13072","./csvs/individual_treatments/Control.F.12-CR.F.12.csv"
"R-MMU-392499 (R-MMU-392499) - Metabolism of proteins",0.221487603305785,0.295336787564767,0.116234148779716,-0.290580358758919,-1.22444299528382,25,"26423, 53857, 12653, 239591, 19701, 53376, 14853, 19933, 50877, 73710, 22151","./csvs/individual_treatments/Control.F.12-CR.F.12.csv"
"R-MMU-556833 (R-MMU-556833) - Metabolism of lipids",2.74135389643638e-06,1.93361449373987e-05,0.627256739718528,-0.681722932705338,-2.65567144475625,20,"110115, 13070, 12683, 70861, 13079, 13072, 15492","./csvs/individual_treatments/Control.F.12-CR.F.12.csv"
"R-MMU-597592 (R-MMU-597592) - Post-translational protein modification",0.229706390328152,0.295336787564767,0.116739204791222,-0.321406141754758,-1.22267026502304,19,"26423, 53857, 12653, 239591, 53376","./csvs/individual_treatments/Control.F.12-CR.F.12.csv"
"R-MMU-1430728 (R-MMU-1430728) - Metabolism",0.00150335685027549,0.0105234979519284,0.45505986738723,-0.399780263275799,-1.96921237212123,42,"22227, 14262, 11450, 13117, 13086, 56050, 12683, 171281, 232174, 22361, 55990, 26897, 226518, 100042314, 13122, 14857, 330962, 225994, 13082, 546726, 104158, 14858, 15519, 59027, 11655, 109151, 79196, 270685","./csvs/individual_treatments/Control.M.12-CR.M.12.csv"
"R-MMU-162582 (R-MMU-162582) - Signal Transduction",0.626168224299065,0.848936170212766,0.0643583367917361,-0.200757437983256,-0.873042463516166,28,"53857, 232174, 18211, 22042, 15507, 20423, 18829, 22419, 53376, 11465, 13082, 546726, 15519, 97114, 373864","./csvs/individual_treatments/Control.M.12-CR.M.12.csv"
"R-MMU-168256 (R-MMU-168256) - Immune System",0.727659574468085,0.848936170212766,0.0633597010643758,0.198130296528013,0.802466301397062,19,"19152, 245527, 16819, 16592","./csvs/individual_treatments/Control.M.12-CR.M.12.csv"
"R-MMU-211859 (R-MMU-211859) - Biological oxidations",0.00324460258227027,0.0113561090379459,0.431707695803346,-0.556988201405142,-2.01722826229151,16,"14262, 13117, 13086, 56050, 232174, 55990, 100042314, 13122, 14857, 13082, 546726, 104158, 14858","./csvs/individual_treatments/Control.M.12-CR.M.12.csv"
"R-MMU-392499 (R-MMU-392499) - Metabolism of proteins",0.697368421052632,0.848936170212766,0.059476028695732,-0.208811144840263,-0.795499932212852,19,"53857, 20084, 22361, 239591, 20531, 53376, 235130, 11465","./csvs/individual_treatments/Control.M.12-CR.M.12.csv"
"R-MMU-556833 (R-MMU-556833) - Metabolism of lipids",0.277882797731569,0.648393194706994,0.110122263835536,-0.318322890247003,-1.17659648618835,17,"13117, 56050, 12683, 171281","./csvs/individual_treatments/Control.M.12-CR.M.12.csv"
"R-MMU-597592 (R-MMU-597592) - Post-translational protein modification",0.902335456475584,0.902335456475584,0.0531298054705469,0.162875156945195,0.62140535182797,16,"333424, 108154","./csvs/individual_treatments/Control.M.12-CR.M.12.csv"
