V1,Control.F.6-CR.F.6_logFC,Control.F.6-CR.F.6_logCPM,Control.F.6-CR.F.6_LR,Control.F.6-CR.F.6_PValue,Control.F.6-CR.F.6_FDR
H19,-7.70816378258889,2.15347200908049,22.1004960915834,2.58742868975309e-06,0.0001383365720213
Ckmt1,-4.34693211961842,-1.96775693285937,11.9401915284953,0.0005493583191668,0.0078762709329163
Hk2,-2.90963331452643,0.500450676238283,13.3151343830538,0.0002632724574858,0.004723539287731
Sult5a1,2.21268376633692,4.09101042023343,11.0292389910292,0.0008968595796456,0.0111602044774353
Vpreb3,-2.24272393453113,-0.674759357712211,17.5376656598422,2.81672033729272e-05,0.0008898832275091
Scn4a,-4.06962331278568,-2.11368124967181,5.3928629064441,0.0202192713683732,0.100007819336267
Uhrf1,-1.86839066631581,-1.11633765050427,6.80005838078371,0.0091154891833639,0.0580000218105593
Ube2c,-1.90235444592215,-0.666094630857162,6.6324803007694,0.0100135736398274,0.0619972843556469
Sgca,-4.76369255094871,-2.72917973776437,4.87272959829113,0.0272843107599265,0.123315519312464
Ccne1,-1.53559855830193,0.117381393625834,4.22526011476597,0.0398265143286765,0.158374790561747
Peg3,1.93160815129978,2.4562935454185,16.0655771343427,6.11862080410867e-05,0.0015827228507197
Rpl3l,-4.77638518171623,-1.32081618427716,11.9253469173059,0.0005537531437322,0.0079109005859734
Shh,-1.74983645133897,-1.56710830684669,4.55171014129861,0.0328858847145233,0.138747361585212
Ggct,1.89755582415636,2.63663850646357,34.5580044111677,4.13736702899727e-09,7.70025197345449e-07
Crhr2,-2.52954699773398,-1.09959128662673,12.7941217619242,0.0003477101780376,0.0057422468038316
Inmt,-1.60792138891483,8.93918697939566,17.0542035060332,3.63278712989496e-05,0.0010788065129443
Ier3,-1.94772972055594,0.535077654912556,14.2723863452197,0.000158168294003,0.0032006055037115
Fosb,-1.98570137643521,-0.78022788106405,5.01705019590156,0.0250988915010801,0.116874710030954
Insig2,1.63453631302496,7.58826087633136,16.350140695227,5.26522535052362e-05,0.0014412652817375
Gstm3,-3.52607510715792,5.83783601948952,40.4946877244691,1.971513365046e-10,5.73029320975005e-08
Nmrk2,-6.7407337505082,-3.03480216197807,5.3196331426389,0.0210864503322533,0.103202896312433
Ccn4,1.61963455939479,0.0575287658513147,7.85722117138963,0.0050618128699895,0.0385324478760251
Klf5,-3.03405442049688,-1.38733696662627,12.2856298734602,0.0004564593191831,0.0069273299259071
Fcer2a,1.69901655277478,-1.02082888282248,5.80702459216715,0.0159622791817787,0.0849726923076636
Cyp2a5,-2.25228042182564,10.74799299718,19.6378463501051,9.35967553141324e-06,0.0003712748710798
Pvalb,-4.47951657072377,-0.838375547418446,4.26313416418477,0.0389479997714691,0.155889515359716
Eps8l1,-5.46136139209973,-1.04174642059733,10.9276122612123,0.0009474152119158,0.0115525397236357
Fam131c,1.97188809855433,2.92572106090693,15.5653425292518,7.97022205480307e-05,0.0018960114548821
Hspb7,-6.38553840365135,-0.678138594683482,11.1981644075562,0.0008187828730706,0.0104378492893999
Nectin4,-2.52336782316961,-1.42371374964582,15.8101139709722,7.00271813287115e-05,0.0017464189090807
Neurl1a,-3.13666045590529,-1.56326864717867,8.5609602688165,0.0034344821666295,0.0293916659077836
Actn3,-5.10416323820633,-0.423462625503956,10.7491947747928,0.00104324701329,0.0124550759928716
Nsmf,1.59200557378633,6.634069388105,61.0919529419866,5.4470326827826106e-15,8.707626446696279e-12
Prkag3,-2.21739328624409,-1.92115624701583,5.09936480871023,0.0239346066473361,0.113167294251498
Snai3,-3.11083035529087,-1.69154401886594,11.5080095796653,0.0006929694092489,0.0092934639062529
Atp1a2,-3.95087882428964,1.19328241429682,11.2464693926379,0.0007977461402775,0.0102185655436511
Casq1,-5.15308396908668,-0.786936845795633,10.1352768300846,0.0014545839657311,0.0157861366437052
Tcap,-7.93837246162171,0.991922006583594,10.1833144865762,0.0014171720580414,0.015498593391357
Rab25,-3.19246968755092,-1.67603508988112,11.7424765923051,0.000610896788067,0.0085216370454104
Tbx1,-6.36724882454263,-2.02325209762652,8.15590994878725,0.0042921058918206,0.0340683241244515
Syn2,-2.52553277822511,-2.00384378333452,4.40992637250025,0.0357303832567421,0.147212862562443
Zmynd10,-2.41448301866213,-1.56960397840183,7.81293029477981,0.0051873722717447,0.0392824884586036
Epn3,-2.98552422749777,-1.39378550606605,12.7848989993837,0.0003494286311742,0.005758727936033
Pax5,1.51470023593368,-1.07029139781485,5.86533995274966,0.0154418762425832,0.0831228341536182
Kif1a,2.21729188538633,-1.17738159261325,5.83110309679428,0.0157452475105519,0.0840974028411904
Tppp3,-3.93696942165448,-0.964779256331541,12.0183098933896,0.0005268045082356,0.0076188722650776
Clic3,-1.52131632677916,0.330859170696566,4.98211285135945,0.0256106866808751,0.118361502538442
Lonrf3,-1.96804378836797,1.34479806714192,31.0094130921904,2.56780062753374e-08,3.39246783733507e-06
Eef1a2,-7.02723631264366,0.404561598140155,11.5181893205339,0.0006891848662744,0.009258243085935
Slpi,-3.34876493980565,0.870394260850773,10.0576157861399,0.0015171944485432,0.0162996441225895
Cntnap1,2.92952497481189,2.20214604606883,23.7160238254704,1.11649065928788e-06,7.12978179205529e-05
Gsdma,-8.20868225973985,-2.42520615790195,7.26384432610421,0.0070356526907193,0.0482712205638795
Tnnc2,-6.80298103515913,-2.82422336858664,4.46830327249489,0.0345292641403756,0.143223875596275
Aldoc,-2.43178675789709,3.87874929151931,54.6719260780492,1.42426391642254e-13,1.4230176854956701e-10
Gdf9,-2.04845808932551,-1.05608706112517,13.2539312687519,0.000272008818631,0.0048314810829286
Abi3,1.9868849950626,1.82916481841202,40.5926937833124,1.8750646513093801e-10,5.55088583626514e-08
6330403K07Rik,-3.92352425967638,-1.52413878576147,6.66497163276317,0.0098326220505369,0.0611374158303711
Ybx2,-4.58493729115428,-2.47796733321688,6.41144672239879,0.0113386994445085,0.0672830175649271
Slc2a4,-4.38953298045671,-0.212075703574932,11.9201322365332,0.0005553053874353,0.0079189223225168
Dusp14,-2.86806523365444,-0.207814173078859,26.935326862964,2.10378217496242e-07,1.9217749627971e-05
Mb,-10.6224329627913,0.405596839087326,7.90988407198034,0.0049165420157308,0.0376056653892217
Aldh3a1,-8.2360949643983,-0.327716245675779,14.837154877411,0.0001172035659084,0.0025526106329879
Pdk4,-2.59850317982642,4.68159134493434,14.1365918659394,0.0001700044357078,0.0033551739620069
Krt10,-1.70627831527713,1.08840158362328,18.0476254038252,2.15447194091495e-05,0.0007235585808291
Trdn,-5.64867048319127,-2.50446754363993,3.92517862230394,0.0475681368149787,0.177501485843521
Lrp11,1.51106110640326,0.870742490309062,15.9140561515986,6.62846162089369e-05,0.0016713341872493
Hebp2,-2.50457504040252,-1.83673696658432,9.82487357437539,0.0017216753474643,0.0179099072366803
Pkib,1.55719899878648,-0.997121541767278,6.0873567254536,0.0136152627458062,0.0759698395303516
Cdk1,-2.01950107778922,-0.663436345165829,8.48468639177921,0.0035814831212919,0.0302129758189835
Moxd1,-5.1569915423879,2.58265298350066,8.10932517420424,0.0044038117890235,0.0345942679407031
Rfx4,2.02129303947027,1.92525611402944,16.1783198036508,5.76501589645772e-05,0.001538556663118
Cry1,-2.23352185588932,3.64236627426863,68.7825171859403,1.09943034109062e-16,2.52368300461372e-13
Ascl1,-5.43050613697008,-2.65152613204819,6.5030484495386,0.0107689696151889,0.0650242981465816
Mybpc1,-9.51395424732323,0.211876841488478,11.2442766172948,0.0007986891487113,0.0102224537480376
Mypn,-5.82106998275716,-1.5248407030817,18.8477952574564,1.41574646466972e-05,0.000517897551126
Rab36,3.45150646646177,2.88352992166241,81.7651292804507,1.5325888260569802e-19,8.16665499111565e-16
Jsrp1,-5.62061071648742,-1.98603081241227,4.87120276310759,0.0273084607020592,0.123354917429533
Pgam2,-3.46222790872207,0.168878211556366,12.6804337155488,0.0003695018510417,0.0059808146961355
Srebf1,-1.70734455769735,7.98128532915058,22.3372453185654,2.28727127921966e-06,0.0001260838574813
Nampt,-1.62433026342576,5.72733647765514,34.4647908561494,4.34031969907847e-09,7.91014334693388e-07
Arsg,1.88297606198293,4.04176690792157,29.1973169783838,6.53696631329675e-08,7.57245967277984e-06
Map2k6,-1.58725799416332,2.15737490893393,12.4576157913385,0.0004162909766066,0.0065052077732486
Pfn4,2.16496746114804,-0.784504595120157,11.9377132650115,0.0005500895658236,0.007879687992166
Rsad2,1.78142812611856,3.0783707677073,19.3864796029375,1.06760218967327e-05,0.0004132370122062
Cacng1,-4.07077571275921,-1.82934406174661,7.2195015649781,0.0072115729697867,0.0491617081002179
Fbf1,-2.64589180192252,3.5923009420124,34.3841755282674,4.5238651443293805e-09,8.03538979969439e-07
Coro6,-2.57260014817418,-1.41227635111115,5.83787497960207,0.0156847586804125,0.0839145087901857
