V1,Control.F.6-Protandim.F.6_logFC,Control.F.6-Protandim.F.6_logCPM,Control.F.6-Protandim.F.6_LR,Control.F.6-Protandim.F.6_PValue,Control.F.6-Protandim.F.6_FDR
Vpreb3,-1.5086147992162,-0.674759357712211,7.92008196699626,0.0048889057413499,0.0883530665050898
C1ql4,3.06586692943672,-1.00658156952152,9.13946417169932,0.0025015435103933,0.0631212973834771
Ier3,-1.57382338118345,0.535077654912556,9.4482483342663,0.0021135085101722,0.0581576768468359
Gstm3,-1.5698709353673,5.83783601948952,9.23957265686143,0.0023684022010027,0.0614973322967033
Snai3,-2.42610467760984,-1.69154401886594,7.1816822238475,0.0073651618962261,0.105252364739809
Cpb1,-6.47813011141046,-2.05121267659701,5.19303700813434,0.022677553314723,0.178204882011855
Crybg2,-1.91891439856769,1.67421076092585,5.98064263502624,0.0144637310942866,0.143642057331303
Wt1,-1.77344221131523,-1.48689800656591,5.3998450282913,0.0201385396447678,0.16759063894899
6330403K07Rik,-3.48062310994252,-1.52413878576147,5.37651977316686,0.0204095525745064,0.168898913582347
Fos,2.30151640443798,0.678766711170427,7.52232223812614,0.0060939070668572,0.0974171983707801
A1bg,-2.23526770140972,7.68721088893128,5.71160154213601,0.0168531573085924,0.154046681373371
Nr4a1,3.12354685502212,2.55698572566599,11.430608676842,0.0007224401516413,0.0349831310948516
Cela3b,-7.80148275968968,-1.53353666821047,9.31986579221695,0.0022668259674153,0.0601951493606335
Clps,-7.27919735947111,-2.05353461358281,6.9859255351273,0.0082153158794443,0.110547171421546
Cyp21a1,-4.26615001659615,2.64825704779264,5.91612790577784,0.0150028948709062,0.146241632564821
Cyp2c39,1.596308217513,7.74616676028829,6.00551817020465,0.0142612052086968,0.143125492430453
Tctn3,1.60204187740209,-0.612715933037117,11.3155505077527,0.0007686067034942,0.0355238230776361
Ankrd2,-2.31962583226135,-0.978120113471695,8.16385695818843,0.0042733397063225,0.0829048647394085
Cyp2c23,-1.91638404643953,6.63010480238191,4.74106439075086,0.0294508447204185,0.204252149110894
Tnnt2,2.32794111959187,-0.0328390086054661,4.48037055932595,0.0342862863963089,0.21853433873261
Cel,-8.40324860845555,-1.58251677748024,7.25722503706964,0.0070616322810847,0.10385259036649
Knstrn,-1.71611660385341,-0.42521853191621,7.98646368560221,0.0047128378108237,0.0868179767160353
Adra1d,-6.80074372153651,-0.318321450317804,9.70958402506031,0.0018330950187009,0.0552261550291678
Mecom,1.64956700829125,-0.447703953064333,9.8102532700802,0.0017354160520876,0.053660272744048
Aacs,-1.61732163116804,6.02359973326846,10.0491458387372,0.0015241859621237,0.0503422247737809
Prss3b,-7.39736458226923,-1.51595187646698,6.64385506666801,0.0099498398963842,0.121472236330499
Pdlim3,3.24147270472059,-0.947869102393074,6.3720818936267,0.0115929511006557,0.131064297238389
