V1,Control.M.12-CR.M.12_logFC,Control.M.12-CR.M.12_logCPM,Control.M.12-CR.M.12_LR,Control.M.12-CR.M.12_PValue,Control.M.12-CR.M.12_FDR
Vpreb3,-3.64716899752842,-0.674759357712211,30.2414437880658,3.81470381619065e-08,9.5284148758787e-06
Cnn1,-3.34732370291408,-1.73483671667036,4.90486373965879,0.0267811645113987,0.17980835610215
Rec8,2.11150075797453,-0.684247713186742,6.47691921714521,0.0109284242278983,0.102947430587615
Dyrk1b,1.60783714925231,3.42168780589985,31.7436425968204,1.75924179851063e-08,5.11331625290745e-06
Shh,-2.37383593777026,-1.56710830684669,9.19541513407215,0.0024262205940162,0.0376924804819666
Ier3,-1.57949819560011,0.535077654912556,7.77319126647247,0.0053027284769805,0.06443786678732
Col5a3,1.87844667999169,4.91356225227188,26.313619636604,2.90234719369314e-07,4.93584279131687e-05
Gpx6,-2.18627313386198,-0.262261140614823,5.45234538058749,0.0195420741684211,0.148690907975431
Hspb1,-2.4421386572584,4.45922322764901,15.7914925228804,7.07197851608886e-05,0.003105841993357
Ccn4,2.04898726474121,0.0575287658513147,11.4530531017868,0.0007137663096462,0.0164176521237488
Asf1b,-1.53663187974992,-1.21799005530737,9.45059310580628,0.002110808332137,0.0344671930516262
Cyp2a5,-2.3528506084827,10.74799299718,21.2683000715424,3.99280132620679e-06,0.0003732685497119
Atp4a,2.06133518849708,-0.876955899687589,6.14324110154546,0.01319153078451,0.116873602796997
Rad51c,-3.41376376930662,-0.346410865416915,45.918690856592,1.23264269164194e-11,1.15911918050518e-08
Rps18,-3.46465653617947,5.73535066745269,8.9070260698052,0.0028407551804596,0.0423986195710735
G0s2,-1.64585429705644,7.2417212627507,8.70343070220164,0.0031761172520746,0.0460738751285526
Crybg2,2.00044423862378,1.67421076092585,6.36360284702792,0.0116484778162397,0.106924553300208
Gadd45b,-2.20523143457726,2.7416627267814,13.4036913696339,0.0002511295986066,0.0079697466599435
C4a,2.18412619745931,7.8646761268036,12.8861482389121,0.0003310229901937,0.0097647707436357
Lonrf3,-1.87335842545631,1.34479806714192,21.5529939579994,3.44184949943843e-06,0.000327508369631
Dyrk3,1.67586821544688,0.605081336821103,14.6265087645266,0.0001310580143867,0.004883667640996
Moxd1,3.94075886325625,2.58265298350066,5.18829876058179,0.0227394656426409,0.162718486017572
Vnn3,-2.1128303962793,5.69308865065238,21.6849855294982,3.21296246049884e-06,0.0003131854749605
Cry1,-2.32756198002568,3.64236627426863,72.6821131527712,1.5230827175130802e-17,8.11600010738803e-14
Mrnip,2.05087588933685,0.570541830582201,31.0139744227504,2.56177315509701e-08,6.94110265379337e-06
Adcy1,2.99244876321224,0.379068789863341,8.99591744204871,0.002705834000719,0.0408070399391453
Nampt,-1.73232256729188,5.72733647765514,38.7240812019872,4.88149300140559e-10,2.69088093518862e-07
Rrm2,1.97716523057237,1.03524414656113,17.0414491244554,3.65726915544571e-05,0.001850161541739
Slc13a5,1.91541486083776,1.10530935435031,10.546896347959,0.0011638335153188,0.022884431212654
Fbxl20,1.81404288544294,4.84272623461404,96.7312658991064,7.94053818634375e-23,9.49436692179087e-19
Nr1d1,4.77893762741662,6.58902580853068,95.9339064514383,1.18783522104227e-22,9.49436692179087e-19
Adam11,1.53693242192101,4.5432658523678,18.7671373179543,1.47690195314786e-05,0.0009676128943861
