V1,Control.M.6-Acarbose.M.6_logFC,Control.M.6-Acarbose.M.6_logCPM,Control.M.6-Acarbose.M.6_LR,Control.M.6-Acarbose.M.6_PValue,Control.M.6-Acarbose.M.6_FDR
Cldn15,2.14558488674559,-1.11247835132564,5.40433272040514,0.0200868261727735,0.584803950209624
Prkar2b,2.84363463922944,-0.129239675361461,6.51783708459821,0.0106797809684954,0.508991383325399
Nkg7,1.85848771236124,-1.01483437799261,5.44235961211003,0.0196541009646472,0.579623658004128
Abhd1,-1.50636191450385,0.479490059219061,5.00004449934272,0.02534666699407,0.609378745917278
Atp1a2,2.48421693564825,1.19328241429682,4.9357745905272,0.0263062698668427,0.611802228033091
G0s2,2.1602712428827,7.2417212627507,14.4888380512056,0.000140992508552,0.10964137915608
Cpb1,-9.57454097289017,-2.05121267659701,8.10963777972841,0.0044030524099178,0.405384999354073
Tppp3,2.43347768270382,-0.964779256331541,4.19588083593356,0.0405222966424548,0.669314826573499
Ptgds,-2.70039348941044,1.8599265419339,19.7883741682584,8.65072579666815e-06,0.0415840333778168
Clic3,-3.24084944990793,0.330859170696566,19.4419155405158,1.03705876379269e-05,0.0415840333778168
Sertad4,1.58891736157045,-1.08829412906402,5.33750254162454,0.0208713539548797,0.593810185042275
Wt1,3.26758952374874,-1.48689800656591,8.76532617749869,0.0030701116621792,0.390324453739118
Slpi,2.0521511856286,0.870394260850773,3.93154226013974,0.0473884660001267,0.674208370750461
Slc2a4,3.44731475773625,-0.212075703574932,6.87724573985722,0.0087299991704778,0.479119177072695
Aldh3a1,4.07665280577484,-0.327716245675779,4.46626566646872,0.03457046914914,0.649469825983935
Aoc3,2.86489152268384,-0.785201777416572,4.81705294554989,0.0281794858702365,0.628280698914366
Slc36a2,7.36577120069422,-1.3917470870544,7.16938357963112,0.0074158252536476,0.466609144771777
Aebp1,1.64299762189943,1.4669236607507,5.98001669670685,0.0144688652254356,0.545294878333041
Asb2,-1.51380949816654,1.18905641386666,7.11548010438841,0.007642113506437,0.466609144771777
Meg3,-1.5988905992134,2.74494259474168,5.52767887120845,0.018717920680505,0.579623658004128
Cxcl14,1.53256874039894,0.275403429132113,4.82711913944398,0.0280154057719521,0.626369617720875
Adipoq,3.63753979994751,-0.321706116924922,3.98872337563898,0.045805757300175,0.674208370750461
Nr4a1,-3.01402684820071,2.55698572566599,10.6883259589091,0.0010781372345955,0.273573044956251
