V1,Control.M.6-Rapamycin.M.6_logFC,Control.M.6-Rapamycin.M.6_logCPM,Control.M.6-Rapamycin.M.6_LR,Control.M.6-Rapamycin.M.6_PValue,Control.M.6-Rapamycin.M.6_FDR
Ckmt1,-2.70200895618104,-1.96775693285937,4.61550277391188,0.0316842056211881,0.692390857223033
Hoxb6,-3.31750072229066,-1.87690416726377,10.4129669281083,0.0012513354049961,0.170677268950603
Car4,-4.71803803590526,-2.35565734928417,5.47792774354386,0.0192580762031215,0.60530217349372
Aif1l,-3.63965729011183,-1.47596663476557,11.6556061558872,0.0006400934430571,0.120382750361318
Slc1a5,-1.72669636615266,1.09730382965282,7.75648141989107,0.005352012396306,0.374814159708587
Gria3,-2.77970954104935,-1.13599679059586,12.3599918212253,0.0004386326122463,0.0987602949207009
Mybpc3,-4.58118703703723,-1.52482577382085,10.7496572036756,0.0010429863654162,0.156497804299642
Shh,-3.67379176288336,-1.56710830684669,19.4512482940459,1.032003695209e-05,0.0092695962272242
Epdr1,-2.56488322846121,-1.80339544985879,8.20294733347282,0.0041822396441865,0.326165726195239
Cd36,-1.6996733978685,6.02565798519947,8.60884629429077,0.0033453414121078,0.295462032121305
Prkar2b,-2.96123586478252,-0.129239675361461,7.43027864763413,0.0064135409908456,0.39749460450687
Mapk13,-2.83730579180876,-1.46089417425427,10.7604818160168,0.0010369038561508,0.156497804299642
Prkag3,2.53662516639202,-1.92115624701583,6.44125391699622,0.011149991453417,0.517026522525375
Slc4a3,-3.37447473555972,-0.408219901760192,23.5460506366253,1.21959501541813e-06,0.0024370557395592
Atp1a2,-2.3002253199251,1.19328241429682,4.42440946668951,0.0354283705858123,0.708743206651656
Gprc5b,-2.68765359268323,-0.538964536737165,8.41997790952112,0.0037112030243581,0.308642311616881
Derl3,2.4871985352176,2.13717836655579,8.54605744847785,0.0034627138522139,0.300842085008106
Aldh1a2,-2.37519680138129,-1.88888242039024,8.03506055354416,0.0045880476378977,0.350930763346573
Myl2,-6.47137112000119,-0.711334419473353,5.2242161416925,0.0222744835889312,0.632468729400807
Kif1a,-3.47465697564202,-1.17738159261325,15.5583690085697,7.99967425018457e-05,0.0350649427256737
Arnt2,-5.90569876688057,-2.21856170290805,10.7606497329133,0.0010368097842883,0.156497804299642
Eef1a2,-4.96524634267556,0.404561598140155,6.81530347927941,0.009037994304939,0.473709432651658
Aoc3,-2.45562557304968,-0.785201777416572,3.86087091166803,0.0494246667973138,0.764080733059359
Moxd1,5.30231100865861,2.58265298350066,10.210693532753,0.0013962865543996,0.183783357077375
Ddit4,1.63460598054842,2.86061109025838,7.68153411210197,0.005578872120076,0.376822379782487
E2f7,1.79734906065173,-0.673658836179787,7.61498267945021,0.0057885314983965,0.376822379782487
Aebp1,-2.40410489958399,1.4669236607507,12.9815005084343,0.0003145837564243,0.0811118698419292
Slc13a5,1.89524066774159,1.10530935435031,10.2024060865401,0.0014025753511472,0.183783357077375
Slc6a4,-2.22889649580272,-1.13371330499704,12.8479625596108,0.0003378468982009,0.0843878205412552
Chga,-12.6513434523493,0.451447098117549,22.9216255095285,1.68742709735733e-06,0.002997245508706
Cyp46a1,-3.86920534744141,6.28104783441276,7.16650554732291,0.0074277324379743,0.422561319407325
Ryr2,-3.83860480721741,-2.32947156799433,5.01123055603841,0.0251834002000938,0.647252162126119
Ogn,-1.73626054256563,-0.63335202184627,8.39592908136736,0.0037606225167816,0.308642311616881
Gadd45g,2.2431818465311,4.07148513906948,4.92543903141103,0.0264640771086612,0.657203953664125
Ckmt2,-5.62742955830097,-0.805661271207456,4.14329260493381,0.0417997896771836,0.743283023113968
Arhgef28,-2.30157130234023,-2.05990683675449,4.25140904935785,0.0392177785132838,0.738701021826095
Fam107a,2.15983755736197,-1.52175736789753,5.88488216305198,0.0152714195656403,0.567056303789862
Ldb3,-4.33546112536365,-0.490457820918326,4.87883816245997,0.0271879136031006,0.657203953664125
Bcl6,1.6397869295866,4.81497118427278,3.89439732452652,0.0484474185218895,0.763787408768172
Cyp11b2,-9.45385081747505,-1.96891343349407,9.02245681706236,0.0026668270648493,0.264794394153298
Lynx1,-2.07981292437031,0.42204337105381,9.9298207197097,0.0016262237279783,0.196945549359563
Robo1,-1.66529652550157,1.77344189016128,6.40199763103252,0.0113992029703268,0.517782015320078
Enah,-2.00957019279979,-0.639253362449889,11.0375114501291,0.0008928663536806,0.153477005698274
Nr4a1,-2.64891640661079,2.55698572566599,8.50263002343819,0.0035463351360086,0.306441694509378
Sncg,-2.68700372488934,-1.5525463126098,6.12608650129539,0.0133201399254571,0.541821264245182
Tmem52,-3.35554356357525,-2.60316814169,4.09401007480717,0.0430354242143394,0.745587147998903
Tff3,2.34896950066691,0.284098547095563,4.013792605088,0.0451295257365443,0.755723532469282
Cacna1h,-5.86694431614375,-1.36656199465443,15.0517093663177,0.0001046054774288,0.0418055790544416
Cyp21a1,-8.23560871467469,2.64825704779264,20.9232100916537,4.78066876812754e-06,0.0054588407805204
Camk2a,-2.23462346900379,-1.59212983088293,4.70364489899493,0.0300987212364968,0.682072928933552
Psat1,-1.58676889902434,0.88149640656311,5.90129670878883,0.0151297420136132,0.567056303789862
Scd2,-2.31715883323256,3.92320179449563,21.8146366221262,3.00300536704054e-06,0.004800604379751
Fbxl16,-2.02469318529322,-1.19209665624024,14.1887257921585,0.0001653583199209,0.0562429383458619
Rpl7-ps8,-1.58068186663864,0.355020658553955,4.24663191301538,0.0393282551348525,0.738701021826095
Akr1cl,-7.97207737772153,-0.956959763883764,6.70140290539833,0.0096337081557148,0.493604033901468
Efhd1,-4.15774942649477,-1.21992798816338,16.553665186609,4.72924907047135e-05,0.0230873269681839
Rgs2,-1.73097669800886,1.52017172559856,15.4316028032401,8.55456503378753e-05,0.0350649427256737
