V1,SnellDwarfMiceControl.M-SnellDwarfMice.M_logFC,SnellDwarfMiceControl.M-SnellDwarfMice.M_logCPM,SnellDwarfMiceControl.M-SnellDwarfMice.M_LR,SnellDwarfMiceControl.M-SnellDwarfMice.M_PValue,SnellDwarfMiceControl.M-SnellDwarfMice.M_FDR
H19,-11.0735163092626,2.15347200908049,32.2716790750475,1.34053034704323e-08,4.99527229087016e-07
Cdh1,2.26771429508914,3.71510248551308,16.7187673272363,4.33500379264868e-05,0.0006392930869859
Clec10a,-3.15400372296771,-1.29303426968737,10.9778158234987,0.0009220904215175,0.0082211586605574
Pparg,-2.51531750707717,2.54655126631808,29.6415989056215,5.19774115504772e-08,1.73467829028378e-06
Sox9,2.05507046475812,2.41834940255378,20.3671743317056,6.39168440192434e-06,0.0001229572404923
Sult5a1,9.22196690738749,4.09101042023343,92.4033802553401,7.06932453582137e-22,1.7218839947533702e-19
Il12rb1,2.77362816053416,0.813555984873979,27.9035702008427,1.2751426728008e-07,3.94978071466734e-06
Scn4a,-4.82580909448441,-2.11368124967181,6.10248114863636,0.0134992217234702,0.0648987291515676
C1ql4,7.2355983565332,-1.00658156952152,37.867756013384,7.57061981978904e-10,3.89144464434558e-08
Slc13a2,2.35973985781924,1.10446964988847,18.535360159734,1.66781283727518e-05,0.0002827323013433
Uhrf1,-1.59142025252519,-1.11633765050427,5.82442015109612,0.0158051776157666,0.0724166148941371
Sgca,-5.61448370273268,-2.72917973776437,5.03796221790628,0.0247976438399137,0.0997938975333557
Gstt3,-1.65655302138148,5.70593511835291,32.4418902949015,1.22810387467142e-08,4.63029918407956e-07
Tspan33,1.70190451399976,3.59292159252955,34.2276112086047,4.90283619325223e-09,2.04106092149297e-07
Gria3,-1.54902948274492,-1.13599679059586,4.24387733088848,0.0393921062736268,0.137373955255279
Hsf2bp,5.81547437404354,-0.48631973072955,26.4656294324264,2.68269083544561e-07,7.6308711201839e-06
Rpl3l,-4.22701526320496,-1.32081618427716,8.8621275799293,0.0029114802854658,0.0202272593843797
Epdr1,-2.59022502013778,-1.80339544985879,6.88517579423625,0.0086913519509687,0.0464526754557628
Plin4,-2.80123252658852,3.74406558718308,18.4334406677767,1.75943078726553e-05,0.0002973177649601
Cd36,-3.84574211006853,6.02565798519947,37.0414831899476,1.1564258891325e-09,5.7411876595255e-08
Dlgap1,3.60125165319346,0.851699490032221,39.7177048935922,2.93453155967318e-10,1.68746120550127e-08
Ier3,-2.94666915587643,0.535077654912556,27.2581240798251,1.78025538386942e-07,5.30954525495084e-06
Ssbp2,-1.64648381943116,-0.307173348440464,19.0145370631026,1.2972636147676e-05,0.0002271419074006
Nkg7,-1.5261329818354,-1.01483437799261,4.0087003727329,0.0452660304641455,0.15117253886215
Mapk13,-2.83670325659003,-1.46089417425427,7.90412349100788,0.0049322234765794,0.0303723129802002
Ccn4,2.0491412611889,0.0575287658513147,11.4547498496924,0.0007131148799117,0.0066626852543946
Klf5,-2.71509485270775,-1.38733696662627,7.26567233098682,0.0070284953016721,0.0396882818412328
Prlr,1.61914400941551,7.14438948057963,33.1112309198141,8.70345456086042e-09,3.43539320024481e-07
Cyp2a5,-2.79561711310028,10.74799299718,28.9858008383449,7.29107741591507e-08,2.34517431732029e-06
Atp4a,3.22281434988375,-0.876955899687589,12.2780238622977,0.0004583234270106,0.0046756594155663
Mthfd2,2.08129198386518,0.606689349130227,21.9391896337747,2.81427708522059e-06,6.02262831115615e-05
Nr1i3,-1.58991654733141,5.74600641993444,24.7102843848851,6.66276889563106e-07,1.67733895378832e-05
Pvalb,-6.89317128591176,-0.838375547418446,6.41213515187943,0.0113343042597056,0.0566933851184251
Hspb7,-4.43687226741652,-0.678138594683482,6.08534879467072,0.0136307454052071,0.0653572573628197
Neurl1a,-3.41385968901523,-1.56326864717867,8.00430959425832,0.0046666151740684,0.0291636083552223
Actn3,-5.0657783735095,-0.423462625503956,8.65624609265576,0.0032594209816378,0.0220971602258112
Nsmf,1.55609760638038,6.634069388105,57.7068853137933,3.04235999353226e-14,2.87782052405957e-12
Ihh,1.54951506297406,0.827502412772809,6.51270565296176,0.0107106419206241,0.0544420736861996
Krt23,-4.13825831594921,3.39521827207173,34.2620416910584,4.81685731025386e-09,2.01050341936601e-07
Atp1a2,-4.09001310891428,1.19328241429682,11.3041729193703,0.0007733308904108,0.0071071278972121
Casq1,-4.57739414432721,-0.786936845795633,7.52572785105197,0.0060823974988074,0.0356165591267167
Hapln4,2.64978484957128,3.46589700579475,41.7046170989349,1.06157996950481e-10,6.43008971047954e-09
Tcap,-8.34381020884277,0.991922006583594,10.3672903559313,0.0012826766942644,0.0106874353796276
Rab25,-3.84870523330057,-1.67603508988112,11.400921986095,0.0007340766461784,0.0068147208279961
Gprc5b,-5.57373726862945,-0.538964536737165,23.0628590314774,1.56790345640397e-06,3.57044225841508e-05
