"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"mmu00010 (00010) - Glycolysis / Gluconeogenesis",0.000383654463211727,0.00144125365988031,0.49849310876659,0.538483750304287,1.94477816093651,25,"230163, 11668, 16828, 56752, 72157, 13806, 433182, 14751, 18770, 103988, 60525, 26876, 72535, 14433","Control.F-Acarbose.F_logCPM"
"mmu00040 (00040) - Pentose and glucuronate interconversions",0.00180131537738266,0.00577696048250768,0.45505986738723,0.581143691393505,1.86025761269714,15,"11668, 22238, 71773, 216558, 72094, 67880, 22235, 394436, 72535, 394434","Control.F-Acarbose.F_logCPM"
"mmu00071 (00071) - Fatty acid degradation",1.66073369165354e-05,0.000119110471424712,0.575610261071129,0.623904485157518,2.14789411967851,20,"13119, 13117, 11668, 110446, 270076, 11364, 113868, 15107, 56752, 277753, 100040843, 11363, 66885, 26876, 72535, 666168","Control.F-Acarbose.F_logCPM"
"mmu00140 (00140) - Steroid hormone biosynthesis",0.0111935539874569,0.0246258187724052,0.380730400722792,0.472896982657893,1.6984815801753,24,"13112, 15483, 22238, 12846, 71773, 27400, 72094, 13123, 394436, 15496, 15486, 394434, 13114, 100559","Control.F-Acarbose.F_logCPM"
"mmu00190 (00190) - Oxidative phosphorylation",0.00332366677776449,0.00870484156081177,0.431707695803346,0.470833426867319,1.72503400977062,27,"12861, 22272, 22273, 66445, 226646, 12868, 66694, 17995, 104130, 12864, 66594, 67530, 66152, 75406","Control.F-Acarbose.F_logCPM"
"mmu00230 (00230) - Purine metabolism",0.858739837398374,0.908282520325203,0.0196032645039178,0.189107224820307,0.717986415693744,32,"72157, 23972, 67054, 18770, 11639, 22436, 72090, 18576, 230103, 231329, 209558, 14544, 11821, 18605, 100042069, 110385, 66979, 231903","Control.F-Acarbose.F_logCPM"
"mmu00280 (00280) - Valine, leucine and isoleucine degradation",2.36333567111255e-07,2.78374883494444e-06,0.690132458796796,0.731093616580997,2.39307528138625,16,"15360, 11668, 110446, 11364, 113868, 15107, 56752, 15356, 56357, 15108, 66885, 72535, 12040, 13171, 11761","Control.F-Acarbose.F_logCPM"
"mmu00330 (00330) - Arginine and proline metabolism",0.0331196581196581,0.0650564713064713,0.257206466468838,0.484698151177027,1.55153267417431,15,"11668, 18242, 56752, 212647, 14431, 75986, 72535, 217214, 18263, 109652","Control.F-Acarbose.F_logCPM"
"mmu00480 (00480) - Glutathione metabolism",0.00462314557132703,0.0110553481053473,0.407017918923954,0.494286661072601,1.73002859613858,22,"14862, 14870, 14871, 14630, 14775, 269951, 76263, 14872, 14867, 625249, 14873, 14860, 14869, 18263, 14854, 14864, 14865","Control.F-Acarbose.F_logCPM"
"mmu00500 (00500) - Starch and sucrose metabolism",0.00375803148955586,0.00939507872388966,0.431707695803346,0.508049996203924,1.74904592819779,20,"22238, 71773, 110095, 72157, 216558, 72094, 14751, 232493, 103988, 22235, 394436, 394434","Control.F-Acarbose.F_logCPM"
