"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"mmu00010 (00010) - Glycolysis / Gluconeogenesis",0.895216400911162,0.989707105697719,0.0567672387487446,0.223413382662061,0.75891040932199,43,"56752, 230163, 18770, 72157, 21991, 56847, 60525, 18597","Control.F-Acarbose.F_stat"
"mmu00020 (00020) - Citrate cycle (TCA cycle)",0.0596026490066225,0.17238920020377,0.276500599254472,0.481194815084508,1.44294869892905,26,"78920, 18563, 11429, 15929, 18597, 12974, 67834, 170718","Control.F-Acarbose.F_stat"
"mmu00030 (00030) - Pentose phosphate pathway",0.951672862453532,1,0.0445961615888961,-0.227372978083869,-0.647353878532699,23,"19139, 232449, 66681, 11676, 66646, 11674, 14751, 18642","Control.F-Acarbose.F_stat"
"mmu00040 (00040) - Pentose and glucuronate interconversions",0.0938628158844765,0.232186965608968,0.195789002148949,-0.530815503523345,-1.39734599648923,16,"22235, 71773, 68631, 100727, 72535, 66646","Control.F-Acarbose.F_stat"
"mmu00051 (00051) - Fructose and mannose metabolism",0.281081081081081,0.471814671814672,0.106323255932708,-0.372120849622618,-1.13729088467888,32,"20322, 234730, 319801, 69080, 170768, 219135, 110119, 53332, 11676, 54384, 75454","Control.F-Acarbose.F_stat"
"mmu00052 (00052) - Galactose metabolism",0.978142076502732,1,0.0424170054438747,-0.210670728475745,-0.592476328502206,21,"103988, 66681, 14595, 15277, 18642, 216558, 18641","Control.F-Acarbose.F_stat"
"mmu00071 (00071) - Fatty acid degradation",0.000132771538866807,0.0022691863006327,0.518848077743792,0.627306833739812,2.01401982025061,35,"110446, 56752, 12896, 113868, 15107, 13177, 14081, 12894, 11430, 97212, 80911, 433256, 235674, 216739, 11409, 11363, 666168, 13119, 74147, 50790, 270076, 93747, 11532, 11370, 23986, 52538","Control.F-Acarbose.F_stat"
"mmu00100 (00100) - Steroid biosynthesis",0.310469314079422,0.508871379173516,0.10027910675413,-0.424046113306277,-1.11628076953726,16,"13115, 74754, 14137, 16987, 66234, 13121, 18194, 73166, 20775, 244209","Control.F-Acarbose.F_stat"
"mmu00140 (00140) - Steroid hormone biosynthesis",0.0388441772056123,0.127720317438996,0.321775918075361,-0.519570054212797,-1.5313843137235,29,"27400, 57357, 13076, 71773, 78925, 100727, 56388, 208665, 105349, 20860, 13113, 12846, 15483, 15485","Control.F-Acarbose.F_stat"
"mmu00190 (00190) - Oxidative phosphorylation",0.993299832495812,1,0.0378487722705029,-0.179656473033909,-0.670908705136165,90,"68775, 114143, 407790, 67530, 54405, 66335, 54411, 66144, 70383, 78330, 66445, 66290, 73834, 12867, 11984, 76252, 68194, 12862, 108664, 11973, 17995, 12857, 12866, 140494, 66142, 11972, 72900, 66046, 407785, 84682, 68202, 69875, 67680","Control.F-Acarbose.F_stat"
