"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"mmu00010 (00010) - Glycolysis / Gluconeogenesis",0.000445770228122523,0.0014716293375837,0.49849310876659,0.487030247550226,1.96501111927068,30,"230163, 11522, 16828, 11668, 58810, 18655, 433182, 56752, 72157, 26876, 11532, 18648, 18770, 103988, 13806, 72535, 11674, 13382, 100042025, 14751","Control.F-Acarbose.F_logCPM"
"mmu00040 (00040) - Pentose and glucuronate interconversions",0.0066968145453529,0.0151663152938874,0.407017918923954,0.501055415782054,1.75147744582486,17,"22238, 231396, 11668, 71773, 67880, 72094, 100727, 216558, 394436, 394434, 72535, 100559","Control.F-Acarbose.F_logCPM"
"mmu00053 (00053) - Ascorbate and aldarate metabolism",0.00273954047109417,0.00727395228531899,0.431707695803346,0.553840725710523,1.85237609280737,15,"22238, 231396, 11668, 268756, 71773, 72094, 56752, 100727, 394436, 394434, 72535, 100559","Control.F-Acarbose.F_logCPM"
"mmu00071 (00071) - Fatty acid degradation",1.75652721678263e-08,1.69065744615328e-07,0.73376198835648,0.626800517245837,2.55345547850078,32,"235674, 13117, 13119, 11522, 52538, 11430, 74147, 11668, 270076, 100040843, 110446, 14081, 11364, 277753, 113868, 11363, 56752, 12896, 26876, 12894, 15107, 13177, 11532","Control.F-Acarbose.F_logCPM"
"mmu00140 (00140) - Steroid hormone biosynthesis",0.000953434813086638,0.00262194573598826,0.477270815362862,0.448214174621892,1.83775094604489,33,"13112, 56388, 22238, 231396, 12846, 27400, 71773, 15483, 72094, 337924, 100727, 13123, 15496, 394436, 208665, 15486, 394434, 13114, 56348","Control.F-Acarbose.F_logCPM"
"mmu00190 (00190) - Oxidative phosphorylation",2.03727747368366e-07,1.56870365473642e-06,0.690132458796796,0.531681056003779,2.33274741266024,49,"12861, 12868, 66594, 22272, 110323, 66152, 104130, 12857, 17991, 66694, 54405, 67530, 68342, 66445, 226646, 12859, 100041273, 17995, 67003, 22273, 66091, 595136, 67130, 11950, 66142, 75406, 66218, 68197, 407785, 100042503, 20463, 623286, 12864, 66108, 68349","Control.F-Acarbose.F_logCPM"
"mmu00230 (00230) - Purine metabolism",0.85480572597137,0.889460012159399,0.0202691096367175,0.16988303979918,0.708447510265282,36,"22262, 11637, 72157, 67054, 23972, 18770, 100046796, 12499, 231903, 72090, 11534, 11639, 66491, 11821, 100042069, 230103, 22436, 66979, 231329, 18576, 209558, 11512, 69870, 14544, 18950, 110385, 20022, 231327, 11515","Control.F-Acarbose.F_logCPM"
"mmu00240 (00240) - Pyrimidine metabolism",0.590668080593849,0.720283213891951,0.0407403526717903,0.235628180697359,0.889337251877436,22,"56248, 64705, 100046796, 12499, 103149, 72090, 66491, 50493, 66588, 22245, 72962, 22247, 66979, 231329, 26462, 69870, 72269, 18950, 21877, 20022","Control.F-Acarbose.F_logCPM"
"mmu00250 (00250) - Alanine, aspartate and glutamate metabolism",8.98079819692553e-05,0.000384178589535147,0.538434096309916,0.64035511635256,2.14173218648125,15,"11611, 14645, 76282, 109900, 216456, 14718, 14719, 108682, 52633, 212647, 268860, 71670, 268782","Control.F-Acarbose.F_logCPM"
"mmu00260 (00260) - Glycine, serine and threonine metabolism",0.000139380064861917,0.000511060237827029,0.518848077743792,0.587123082216044,2.11077466684848,19,"14711, 12116, 11611, 192166, 74129, 107869, 14431, 19193, 108037, 12411, 11655, 104174, 268782, 11656, 13382, 434437","Control.F-Acarbose.F_logCPM"
