"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"mmu00010 (00010) - Glycolysis / Gluconeogenesis",2.70286971680569e-05,0.000240801120224507,0.575610261071129,0.668166051981147,1.80949538783954,24,"230163, 11668, 16828, 72157, 13806, 433182, 18770, 103988, 60525, 26876, 72535, 14433","Control.F-Acarbose.F_logCPM"
"mmu00040 (00040) - Pentose and glucuronate interconversions",0.00211791656333264,0.00741270797166424,0.431707695803346,0.644380088743028,1.66677587366446,17,"11668, 22238, 71773, 216558, 72094, 67880, 22235, 394436, 72535, 394434, 100559","Control.F-Acarbose.F_logCPM"
"mmu00071 (00071) - Fatty acid degradation",0.000533567535446637,0.00227346167277263,0.477270815362862,0.67475665003935,1.74534894005508,17,"13119, 13117, 11668, 11364, 113868, 15107, 277753, 100040843, 11363, 26876, 72535, 666168, 13118, 50790","Control.F-Acarbose.F_logCPM"
"mmu00140 (00140) - Steroid hormone biosynthesis",0.000102089660405691,0.000621652318972205,0.538434096309916,0.632466768490611,1.72756851186983,26,"13112, 15483, 22238, 12846, 71773, 53973, 27400, 72094, 13123, 394436, 15496, 15486, 394434, 13114, 100559, 13074, 78925","Control.F-Acarbose.F_logCPM"
"mmu00190 (00190) - Oxidative phosphorylation",0.000177980691272794,0.000969005985818546,0.518848077743792,0.619915333499951,1.69328455427884,26,"12861, 22272, 66445, 226646, 12868, 66694, 17995, 12864, 66594, 67530, 66152, 75406, 68349, 66091, 76429, 68197, 66377","Control.F-Acarbose.F_logCPM"
"mmu00230 (00230) - Purine metabolism",0.376,0.541882352941176,0.0588438169595807,0.363326571185432,1.04782203907588,42,"22262, 72157, 23972, 67054, 18770, 11639, 22436, 72090, 18576, 230103, 209558, 231329, 14544, 11821, 18605, 100042069, 110385, 66979, 231903","Control.F-Acarbose.F_logCPM"
"mmu00260 (00260) - Glycine, serine and threonine metabolism",3.82484134782711e-06,6.24724086811762e-05,0.610526878385931,0.783526578056882,1.98098175330015,15,"12116, 14711, 192166, 12411, 11611, 107869, 11655, 19193, 14431, 11656, 434437","Control.F-Acarbose.F_logCPM"
"mmu00330 (00330) - Arginine and proline metabolism",0.012442145082465,0.0369494005479265,0.380730400722792,0.574569592409962,1.49786667566752,18,"11668, 18242, 212647, 14431, 75986, 72535, 217214, 18263, 109652","Control.F-Acarbose.F_logCPM"
"mmu00480 (00480) - Glutathione metabolism",0.000230587990177153,0.00118934858091374,0.518848077743792,0.625828413993725,1.70208775281851,25,"14862, 14870, 14871, 14630, 14775, 269951, 76263, 14872, 14867, 625249, 14873, 14860, 14869, 18263, 14854, 14864, 14865","Control.F-Acarbose.F_logCPM"
"mmu00500 (00500) - Starch and sucrose metabolism",0.000422782502694004,0.00188330387563693,0.49849310876659,0.62070195969035,1.68095540016203,24,"22238, 71773, 110095, 72157, 216558, 72094, 232493, 103988, 22235, 394436, 394434, 100559, 74185, 209558, 18605, 110006, 394433","Control.F-Acarbose.F_logCPM"
"mmu00561 (00561) - Glycerolipid metabolism",0.0313765182186235,0.0878542510121457,0.257206466468838,0.546818590068194,1.41441991942174,17,"11668, 67800, 225913, 23945, 67916, 72535, 225010, 16956, 13350, 231510, 50784","Control.F-Acarbose.F_logCPM"
"mmu00590 (00590) - Arachidonic acid metabolism",5.35745317662148e-06,6.73224247002154e-05,0.610526878385931,0.645022736614876,1.81488482131378,33,"13106, 13119, 13117, 13095, 13096, 107141, 13109, 404195, 13094, 277753, 64385, 13098, 100040843, 13089, 14775, 13097, 12408, 13099, 666168","Control.F-Acarbose.F_logCPM"
"mmu00591 (00591) - Linoleic acid metabolism",9.89409725351294e-06,0.000107735725649363,0.593325476396405,0.765438485767282,1.96744903655218,16,"13106, 13112, 13095, 13077, 13096, 107141, 13109, 53973, 404195, 13098, 13097, 13099, 13114","Control.F-Acarbose.F_logCPM"
"mmu00620 (00620) - Pyruvate metabolism",0.000349282566933953,0.00170768127809075,0.49849310876659,0.700239147962375,1.77040704668886,15,"11668, 16828, 52815, 18770, 60525, 17436, 72535, 100705","Control.F-Acarbose.F_logCPM"
