"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"R-MMU-109581 (R-MMU-109581) - Apoptosis",0.710843373493976,0.799303882195448,0.183023938384487,-0.163480154808596,-0.83241421708789,17,"55948, 171543, 12550, 12368, 56455, 12367, 18810, 56369, 12028, 227753, 109620, 13511, 69146","Control.F-Acarbose.F_logCPM"
"R-MMU-109582 (R-MMU-109582) - Hemostasis",0.000563272886661975,0.00290832735358122,0.477270815362862,0.353062472231509,1.72171737188845,98,"11657, 22041, 11625, 20702, 20363, 14161, 99571, 110135, 18405, 16427, 94175, 18816, 12759, 12258, 16426, 11905, 19156, 20655, 58992, 12215, 17319, 56248, 117586, 385643, 75396, 20969, 14068, 71660, 13601, 11804, 12314, 22145, 227613, 23945, 14673, 16562, 104009, 11465, 16000, 11674, 22146, 20194, 74840, 18406, 26365, 11747, 16621, 21767, 19039, 22761, 109821, 74764, 226849, 26416, 12988, 12491, 26417, 17134, 11651, 17254","Control.F-Acarbose.F_logCPM"
"R-MMU-112315 (R-MMU-112315) - Transmission across Chemical Synapses",0.0137560598904904,0.0504388862651313,0.380730400722792,0.469785831748999,1.6314920706878,17,"14645, 15481, 12846, 20517, 216456, 14412, 12314, 268860","Control.F-Acarbose.F_logCPM"
"R-MMU-112316 (R-MMU-112316) - Neuronal System",0.348140495867769,0.540365309537089,0.0640703750499722,0.281439925178347,1.10279625390529,26,"14645, 15481, 12846, 20517, 216456, 14412, 12314, 268860","Control.F-Acarbose.F_logCPM"
"R-MMU-114608 (R-MMU-114608) - Platelet degranulation",1.49639928625036e-07,2.91222322631801e-06,0.690132458796796,0.545053575968118,2.38589101572846,45,"11657, 22041, 11625, 20702, 20363, 14161, 99571, 110135, 18405, 16427, 94175, 18816, 12759, 12258, 16426, 19156, 20655, 117586, 385643, 75396, 71660, 13601, 11804, 12314, 22145, 104009, 11465, 16000, 11674, 74840, 18406, 11747, 21767, 19039","Control.F-Acarbose.F_logCPM"
"R-MMU-1168372 (R-MMU-1168372) - Downstream signaling events of B Cell Receptor (BCR)",0.11316648531012,0.257938025076219,0.134273452883202,0.395779507469874,1.3744797832107,17,"22187, 19179, 19175, 621823, 26443, 21402, 12314, 21762, 19182, 22123, 18035","Control.F-Acarbose.F_logCPM"
"R-MMU-1169091 (R-MMU-1169091) - Activation of NF-kappaB in B cells",0.184412733260154,0.364503293084523,0.101713902282311,0.377119723715923,1.28688493438342,16,"22187, 19179, 19175, 621823, 26443, 21402, 21762, 19182, 22123, 18035, 19167, 18036, 26442, 22186","Control.F-Acarbose.F_logCPM"
"R-MMU-1169410 (R-MMU-1169410) - Antiviral mechanism by IFN-stimulated genes",0.756302521008403,0.831932773109244,0.0285038599247822,0.210976553894879,0.784509295978833,21,"15481, 22145, 227613, 100037258, 18148, 22146, 226849, 20892, 56791, 26417","Control.F-Acarbose.F_logCPM"
"R-MMU-1234174 (R-MMU-1234174) - Cellular response to hypoxia",0.0658616904500549,0.187224805436673,0.181383128498408,0.437871279373646,1.49419379891571,16,"22187, 19179, 19175, 621823, 26443, 21762, 67673, 19182, 112406, 13819, 22123","Control.F-Acarbose.F_logCPM"
"R-MMU-1234176 (R-MMU-1234176) - Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha",0.0658616904500549,0.187224805436673,0.181383128498408,0.437871279373646,1.49419379891571,16,"22187, 19179, 19175, 621823, 26443, 21762, 67673, 19182, 112406, 13819, 22123","Control.F-Acarbose.F_logCPM"
"R-MMU-1236974 (R-MMU-1236974) - ER-Phagosome pathway",0.092511013215859,0.229463591604043,0.151148761385484,0.426441720013215,1.43119172305026,15,"12010, 15007, 12317, 14972, 14827, 15040","Control.F-Acarbose.F_logCPM"
"R-MMU-1236975 (R-MMU-1236975) - Antigen processing-Cross presentation",0.0803295571575695,0.20951936042129,0.157402899305283,0.357834003256088,1.432140966775,28,"12010, 15007, 12317, 14972, 14827, 15040, 19179, 19175, 621823, 26443, 22320, 21762, 19182","Control.F-Acarbose.F_logCPM"
"R-MMU-1257604 (R-MMU-1257604) - PIP3 activates AKT signaling",0.486680327868852,0.665568232166593,0.0480220415968251,0.245004043474758,1.0033407032277,32,"22187, 19179, 19175, 621823, 26443, 21762, 83409, 19182, 17192, 22123, 226849, 14164, 26417, 13649, 11651, 67605, 107932, 83490, 19167, 26442, 22186, 56424, 16180, 56484, 83379, 384783, 228775","Control.F-Acarbose.F_logCPM"
"R-MMU-1266738 (R-MMU-1266738) - Developmental Biology",0.995,0.995,0.00354273909070668,0.0903678005969615,0.42139023775788,68,"15516, 22187, 12606, 18643, 16691, 20181, 22145, 227613, 64058, 15519, 11465, 20315, 22146, 26394, 26396, 12387, 26416, 13636, 216443, 26417, 13649, 11651, 227937, 20743, 13511, 22177, 22186, 16480, 53972, 109620, 22142, 56484, 94179, 19401, 384783, 16663, 13836, 73710, 20602, 18186, 18803, 53867, 223881, 16682, 11488, 235611","Control.F-Acarbose.F_logCPM"
"R-MMU-1280215 (R-MMU-1280215) - Cytokine Signaling in Immune system",0.600600600600601,0.767434100767434,0.0373029764832679,0.19975725708875,0.93893304579456,72,"22187, 15481, 18412, 20969, 22608, 12330, 19179, 19175, 621823, 26443, 21402, 22145, 227613, 17000, 21762, 67673, 19182, 100037258, 14600, 18148, 22146, 17164, 22123, 21937, 18035, 26397, 226849, 20892, 56791, 26416, 12988, 22192, 26417, 16880, 11651, 67603, 69146, 19167, 20909, 18036, 26442, 100038882, 22186, 19116, 16194, 16180, 22142, 56484, 16476, 16164, 16151, 15976, 384783, 73710, 11820, 16177, 18803, 12367","Control.F-Acarbose.F_logCPM"
"R-MMU-1280218 (R-MMU-1280218) - Adaptive Immune System",0.296703296703297,0.487441130298273,0.0702812841717392,0.22992678171731,1.12124330814043,98,"12266, 12010, 15007, 22187, 12317, 14972, 14828, 14827, 13030, 66397, 12479, 13039, 68097, 15040, 12520, 12330, 19179, 19175, 80876, 621823, 26443, 21402, 12314, 22145, 227613, 22320, 21762, 216150, 67673, 19182, 22201, 22146, 231670, 22123, 18035, 74764, 15039, 226849, 56791, 18744, 12988, 22192, 12491, 11651, 280408, 76454, 19294, 70294, 15015, 83490, 99152, 20743, 22436, 65972, 19167, 20909, 13032, 56508, 15006, 50762, 22177, 69608, 56736, 18036, 26442, 22186, 20439, 14794, 109905, 56424","Control.F-Acarbose.F_logCPM"
"R-MMU-1428517 (R-MMU-1428517) - Aerobic respiration and respiratory electron transport",1.02867848254697e-10,8.67518853614612e-09,0.839088935621274,0.500838537387982,2.40454230649269,88,"12861, 11946, 12868, 11947, 16828, 22187, 22272, 110323, 66152, 228033, 104130, 12857, 17991, 66694, 54405, 11958, 66043, 76282, 110446, 14651, 68342, 66445, 110842, 14718, 226646, 67126, 14719, 17995, 11949, 67003, 22333, 22273, 71679, 66091, 595136, 67130, 11950, 66142, 75406, 66218, 269951, 14194, 68197, 17448, 407785, 170718, 50799, 100042503, 20463, 68267, 109801, 11429, 67863, 66383, 12864, 28080, 66841, 18604, 66108, 68349, 13382, 57423, 72900, 56451, 20917","Control.F-Acarbose.F_logCPM"
"R-MMU-1474228 (R-MMU-1474228) - Degradation of the extracellular matrix",0.626050420168067,0.770994720610527,0.0376142599562161,0.238664960150564,0.887467713383104,21,"12215, 71753, 13030, 13039","Control.F-Acarbose.F_logCPM"
"R-MMU-1474244 (R-MMU-1474244) - Extracellular matrix organization",0.100204498977505,0.241445126107703,0.13880510939114,0.337168867038496,1.37795330432428,31,"14161, 99571, 110135, 12215, 71753, 13030, 13039, 20969","Control.F-Acarbose.F_logCPM"
