"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"R-MMU-109581 (R-MMU-109581) - Apoptosis",0.00520511322715356,0.0603180768087795,0.407017918923954,-0.444421147664899,-1.59926105488365,76,"22629, 12028, 16905, 12550, 16646, 19058, 17087, 22030, 18753, 21933, 19766, 74268, 12048, 14453, 54722, 12015, 12633, 26419","Control.F-Acarbose.F_stat"
"R-MMU-109582 (R-MMU-109582) - Hemostasis",0.0550070521861777,0.240808650681711,0.227987202850442,-0.27490404647898,-1.20856456880281,373,"67951, 14688, 16412, 11651, 109711, 53857, 19353, 22340, 16551, 14701, 16452, 20339, 15461, 18753, 21346, 21933, 14674, 16558, 17289, 11747, 13590, 56193, 17133, 14463, 26934, 16580, 16399, 12759, 12527, 19053, 12512, 13449, 12540, 22325, 22143, 14679, 225849, 104418, 72017, 227613, 269060, 16456, 223601, 17319, 104009, 22145, 16573, 22388, 18710, 11657, 22146, 23921, 11905, 240641, 18706, 74769, 19128, 110157, 545486, 271457, 20912, 21857, 56760, 228421, 74764, 11820, 19246, 13660, 22041, 15353, 21803, 14205, 192176, 16439, 12523, 67988, 16402, 217864, 12928, 14460, 114714, 18792, 217480, 99982","Control.F-Acarbose.F_stat"
"R-MMU-109606 (R-MMU-109606) - Intrinsic Pathway for Apoptosis",0.0548446069469835,0.240808650681711,0.261663521711573,-0.472120976530645,-1.42275050722445,30,"22629, 12028, 19058, 74268, 12048, 54722, 12015, 26419, 54401, 56455","Control.F-Acarbose.F_stat"
"R-MMU-109704 (R-MMU-109704) - PI3K Cascade",0.772486772486772,0.891243889779761,0.0517405459873163,-0.264865984821376,-0.820584803827764,33,"14183, 14186, 18706, 74769, 75778","Control.F-Acarbose.F_stat"
"R-MMU-110313 (R-MMU-110313) - Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template",0.0778761061946903,0.277510237510238,0.213927855492356,-0.428174459395896,-1.34846529496262,36,"18972, 22224, 18538, 59001, 27015, 217365, 69263, 18974, 80905, 22187, 269523, 216835, 68240, 18971, 19714, 56210, 66979, 22190, 106344, 68275","Control.F-Acarbose.F_stat"
"R-MMU-110314 (R-MMU-110314) - Recognition of DNA damage by PCNA-containing replication complex",0.0821428571428571,0.285147891755821,0.208955027549354,-0.469247420041737,-1.38277662906211,27,"18972, 18538, 59001, 69263, 18974, 22187, 72584, 56438, 76843, 68240, 18971, 99375, 66979, 22190, 106344, 68275","Control.F-Acarbose.F_stat"
"R-MMU-110320 (R-MMU-110320) - Translesion Synthesis by POLH",0.144981412639405,0.379262926292629,0.157402899305283,-0.498296101940383,-1.28807263546348,17,"18538, 217365, 69263, 80905, 22187, 269523, 68240, 22190, 106344, 68275","Control.F-Acarbose.F_stat"
"R-MMU-110373 (R-MMU-110373) - Resolution of AP sites via the multiple-nucleotide patch replacement pathway",0.179297597042514,0.414329930995604,0.139599673451922,-0.464559935706482,-1.23613543258758,19,"18972, 18538, 59001, 69263, 18974, 11792, 68240, 18971, 66979, 106344, 68275, 18970","Control.F-Acarbose.F_stat"
"R-MMU-111465 (R-MMU-111465) - Apoptotic cleavage of cellular proteins",0.279707495429616,0.537584161947652,0.107554375265169,-0.366204424539136,-1.10356784947274,30,"16905, 12550, 18753, 14453","Control.F-Acarbose.F_stat"
"R-MMU-111885 (R-MMU-111885) - Opioid Signalling",0.748235294117647,0.882648820007045,0.0668966276500666,0.239513601876473,0.864733432628887,58,"432530, 14675, 73699, 18747, 18578, 55984, 14699, 51792, 19084, 18976, 104110, 19045, 12568, 224129, 11512, 11515, 14702","Control.F-Acarbose.F_stat"
"R-MMU-111931 (R-MMU-111931) - PKA-mediated phosphorylation of CREB",0.12910284463895,0.364634557618252,0.183023938384487,0.494371988873867,1.33484962593991,16,"432530, 18747, 19084, 104110, 224129, 11512, 11515, 19085","Control.F-Acarbose.F_stat"
"R-MMU-111933 (R-MMU-111933) - Calmodulin induced events",0.61283185840708,0.79952235831917,0.0738052724171275,0.313534404933903,0.915707145699129,22,"432530, 18747, 55984, 19084, 104110, 224129, 11512, 11515, 19085","Control.F-Acarbose.F_stat"
"R-MMU-111996 (R-MMU-111996) - Ca-dependent events",0.61283185840708,0.79952235831917,0.0738052724171275,0.313534404933903,0.915707145699129,22,"432530, 18747, 55984, 19084, 104110, 224129, 11512, 11515, 19085","Control.F-Acarbose.F_stat"
"R-MMU-111997 (R-MMU-111997) - CaM pathway",0.61283185840708,0.79952235831917,0.0738052724171275,0.313534404933903,0.915707145699129,22,"432530, 18747, 55984, 19084, 104110, 224129, 11512, 11515, 19085","Control.F-Acarbose.F_stat"
"R-MMU-112040 (R-MMU-112040) - G-protein mediated events",0.604597701149425,0.79952235831917,0.0764767053228531,0.282213367679556,0.908724477360693,33,"432530, 14675, 18747, 55984, 19084, 104110, 224129, 11512, 11515","Control.F-Acarbose.F_stat"
"R-MMU-112043 (R-MMU-112043) - PLC beta mediated events",0.437777777777778,0.675127788104089,0.0922597260527354,0.323052388316858,1.01204103202271,29,"432530, 14675, 18747, 55984, 19084, 104110, 224129, 11512, 11515, 19085","Control.F-Acarbose.F_stat"
"R-MMU-112310 (R-MMU-112310) - Neurotransmitter release cycle",0.465076660988075,0.696730815320538,0.0745500777420554,-0.298654799722427,-0.980745805478628,42,"14412, 20614, 20511, 22343, 214084, 22249, 19339, 65106, 67760, 319924, 14660","Control.F-Acarbose.F_stat"
"R-MMU-112314 (R-MMU-112314) - Neurotransmitter receptors and postsynaptic signal transmission",0.618666666666667,0.804470847084709,0.083129129135339,0.230575609499301,0.93414025888936,113,"432530, 14809, 110902, 53623, 238276, 14802, 57249, 236915, 18747, 53310, 55984, 14699, 19084, 242425, 104110, 243547, 11444, 14812, 224129, 74053, 11512, 13383, 11438, 14807, 11515, 14702, 110304","Control.F-Acarbose.F_stat"
"R-MMU-112315 (R-MMU-112315) - Transmission across Chemical Synapses",0.659154929577465,0.82841161803356,0.0826646449123753,0.218481839096245,0.931657900022812,168,"432530, 14809, 67111, 110902, 15567, 53623, 238276, 14802, 12298, 214579, 207777, 242607, 57249, 20517, 236915, 18747, 53310, 55984, 14699, 19084, 242425","Control.F-Acarbose.F_stat"
"R-MMU-112316 (R-MMU-112316) - Neuronal System",0.653731343283582,0.828199836828718,0.0517405459873163,-0.221153903496542,-0.937629974469201,237,"13821, 14412, 226352, 26557, 14688, 242667, 210274, 14701, 20111, 12912, 16523, 14402, 11772, 17246, 26556, 14679, 20614, 20511, 20168, 18189, 14814, 80749, 22343, 214084, 26558, 22249, 14400, 19339, 12286, 65106, 67760, 207565, 14810, 319924, 11514, 14813, 105727, 14660","Control.F-Acarbose.F_stat"
"R-MMU-112382 (R-MMU-112382) - Formation of RNA Pol II elongation complex ",0.95697074010327,0.988180706649528,0.0408229003677776,-0.217431805443798,-0.716867398299472,45,"70122, 21399, 64144, 67655, 57314, 74427, 22083, 98053, 245841, 107951, 433702, 69920, 24116, 66491, 20924, 20833, 231329, 68092, 13872","Control.F-Acarbose.F_stat"
"R-MMU-112399 (R-MMU-112399) - IRS-mediated signalling",0.787610619469027,0.899474156726946,0.051011413203915,-0.262622418859317,-0.818177647376136,34,"14183, 14186, 18706, 74769, 75778","Control.F-Acarbose.F_stat"
"R-MMU-112409 (R-MMU-112409) - RAF-independent MAPK1/3 activation",0.000113343845412574,0.00525382059912404,0.538434096309916,-0.754629897369182,-1.9707686678758,18,"26395, 240672, 63953, 16452, 75590, 13537, 18218, 12534, 26396","Control.F-Acarbose.F_stat"
"R-MMU-113418 (R-MMU-113418) - Formation of the Early Elongation Complex",0.608017817371938,0.79952235831917,0.0745500777420554,0.291520961109521,0.905562795989595,28,"23894, 209357, 58202, 14885, 13871, 69833, 66671","Control.F-Acarbose.F_stat"
"R-MMU-114508 (R-MMU-114508) - Effects of PIP2 hydrolysis",0.617256637168142,0.803964016675199,0.0734381410838857,0.313115583762777,0.914483938506761,22,"13139, 76192, 23945, 231871","Control.F-Acarbose.F_stat"
"R-MMU-114604 (R-MMU-114604) - GPVI-mediated activation cascade",0.503571428571429,0.726900692685709,0.0728938564822936,-0.332522783617462,-0.979876956544602,27,"19353, 12540, 22325, 18710, 18706, 74769, 56760","Control.F-Acarbose.F_stat"
"R-MMU-114608 (R-MMU-114608) - Platelet degranulation ",0.0518638573743922,0.238998360298369,0.252961123069611,-0.35276440547157,-1.33385488142978,98,"109711, 22340, 21346, 11747, 13590, 56193, 16399, 12759, 12527, 12512, 72017, 223601, 104009, 22145, 22388, 11657, 19128, 21857, 11820, 22041, 21803, 14205, 192176, 67988","Control.F-Acarbose.F_stat"
