"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"R-MMU-109581 (R-MMU-109581) - Apoptosis",0.690274841437632,0.766913638041394,0.0333092817548776,0.256137100509495,0.846618270666842,17,"68097, 12387, 13511, 11798, 16905, 26417, 22629, 69146, 12368, 227753, 12367, 56455, 12550, 72993, 12028, 54722, 171543","Control.F-Acarbose.F_logCPM"
"R-MMU-109582 (R-MMU-109582) - Hemostasis",0.649350649350649,0.752518509527855,0.0335297167141207,0.216747108678068,0.915539285586551,66,"11657, 94175, 12258, 18405, 16000, 104009, 23945, 226849, 71660, 13601, 26365, 11465, 17319, 26416, 75396, 56508, 21767, 12988, 19039, 11820, 12491, 74764, 109821, 11747, 16438, 26417, 50915, 18803, 20194, 66866, 66082, 20662, 15353, 109552, 20909, 76088, 109711","Control.F-Acarbose.F_logCPM"
"R-MMU-112315 (R-MMU-112315) - Transmission across Chemical Synapses",0.693446088794926,0.766913638041394,0.0330894161454377,0.255573819004111,0.844756438027063,17,"12846, 20517, 14412, 20511","Control.F-Acarbose.F_logCPM"
"R-MMU-112316 (R-MMU-112316) - Neuronal System",0.923702950152594,0.946604676189435,0.0146010500585968,0.172822254949627,0.634700224134911,28,"12846, 20517, 19268, 14412, 20511, 16180","Control.F-Acarbose.F_logCPM"
"R-MMU-114608 (R-MMU-114608) - Platelet degranulation ",0.0329594589179535,0.102197802197802,0.321775918075361,0.42116837006474,1.53395316575425,27,"11657, 94175, 12258, 18405, 16000, 104009, 71660, 13601, 11465, 75396, 21767, 19039, 11820, 12491","Control.F-Acarbose.F_logCPM"
"R-MMU-1257604 (R-MMU-1257604) - PIP3 activates AKT signaling",0.282051282051282,0.416361416361416,0.0741758965588009,0.327453053107241,1.15427857231203,23,"13649, 226849, 21762, 14164, 103554, 16180, 11798, 16179, 56484, 67605, 26417, 54170, 14183, 83379, 67151, 12418, 56424, 13982","Control.F-Acarbose.F_logCPM"
"R-MMU-1266738 (R-MMU-1266738) - Developmental Biology",0.971028971028971,0.986947478750757,0.0078803141868031,0.144187524238541,0.587996162577829,52,"15516, 12606, 13649, 15519, 26396, 12387, 11465, 13511, 26416, 227937, 16480, 26394, 56484, 18186, 26417, 18803, 235611, 53972, 20662, 53867, 11350, 56705, 19401, 54126, 11488, 19041, 14733, 223881, 14388, 22359, 21816, 16663, 94179, 110351, 16682, 23792","Control.F-Acarbose.F_logCPM"
"R-MMU-1280215 (R-MMU-1280215) - Cytokine Signaling in Immune system",0.115346038114343,0.252098778414568,0.126875729929857,0.327150569268709,1.2928991555431,42,"18412, 14600, 16880, 21762, 19116, 20848, 17000, 103554, 16180, 26416, 17164, 12988, 26397, 11820, 21937, 16179, 67673, 230861, 56484, 16151, 67603, 22192, 26417, 18803, 56550, 20662, 16391, 69146, 67151, 20909","Control.F-Acarbose.F_logCPM"
"R-MMU-1280218 (R-MMU-1280218) - Adaptive Immune System",0.144,0.289830942622951,0.11146266692298,0.293932329926435,1.23011897678288,61,"12266, 14972, 13030, 13039, 12479, 68097, 226849, 22201, 21762, 66397, 22436, 22320, 103554, 56508, 12988, 216150, 18744, 12491, 69608, 67673, 107568, 74764, 24105, 16151, 56736, 99152, 16438, 22192, 18803, 19647, 15015, 56550, 218215, 170737, 20662, 15006, 67151, 20439, 20909, 280408, 70294, 268291, 50762, 21354, 56424, 18036","Control.F-Acarbose.F_logCPM"
"R-MMU-1428517 (R-MMU-1428517) - The citric acid (TCA) cycle and respiratory electron transport",9.51437937419639e-05,0.000842702173143109,0.538434096309916,0.527623805701096,1.99343103461017,32,"16828, 12861, 22272, 66841, 22273, 66445, 226646, 12868, 66694, 17995, 11429, 170718, 104130, 269951, 66594, 18604, 66152, 75406, 17436, 228026, 68349","Control.F-Acarbose.F_logCPM"
