"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"R-MMU-109581 (R-MMU-109581) - Apoptosis",0.663146779303062,0.736205322785603,0.0351652290409302,0.255153458543289,0.86377995688981,18,"68097, 12387, 13511, 11798, 16905, 26417, 234214, 22629, 69146, 12368, 227753, 12367, 56455, 12550, 72993, 12028, 54722, 171543","Control.F-Acarbose.F_logCPM"
"R-MMU-109582 (R-MMU-109582) - Hemostasis",0.551,0.677162259107482,0.0412376090540065,0.223899859471079,0.957705800059443,71,"11657, 94175, 12258, 18405, 16000, 104009, 23945, 226849, 71660, 13601, 26365, 11465, 17319, 26416, 75396, 56508, 21767, 12988, 19039, 11820, 12491, 20501, 17254, 74764, 109821, 11931, 11747, 16438, 26417, 50915, 18803, 20194","Control.F-Acarbose.F_logCPM"
"R-MMU-112315 (R-MMU-112315) - Transmission across Chemical Synapses",0.648305084745763,0.725880052151239,0.0363783055518278,0.264381085344632,0.870895800747704,16,"12846, 20517, 14412, 20511","Control.F-Acarbose.F_logCPM"
"R-MMU-112316 (R-MMU-112316) - Neuronal System",0.957273652085453,0.979709753306205,0.0115202567953401,0.15750882593914,0.591378483725992,28,"12846, 20517, 19268, 14412, 20511, 16180","Control.F-Acarbose.F_logCPM"
"R-MMU-114608 (R-MMU-114608) - Platelet degranulation",0.0167223061469124,0.0576479501380403,0.352487857583619,0.418896715933232,1.56124807848212,27,"11657, 94175, 12258, 18405, 16000, 104009, 71660, 13601, 11465, 75396, 21767, 19039, 11820, 12491","Control.F-Acarbose.F_logCPM"
"R-MMU-1257604 (R-MMU-1257604) - PIP3 activates AKT signaling",0.263212435233161,0.383120322394934,0.0782955249944794,0.325871001354571,1.16846087438504,23,"13649, 226849, 21762, 14164, 103554, 16180, 11798, 16179, 56484, 67605, 26417, 54170, 14183, 83379, 67151, 56424, 20393, 13982","Control.F-Acarbose.F_logCPM"
"R-MMU-1266738 (R-MMU-1266738) - Developmental Biology",0.984984984984985,0.992943548387097,0.00599657425469861,0.130962762285565,0.544127635862681,57,"15516, 12606, 13649, 15519, 26396, 12387, 11465, 13511, 26416, 227937, 16480, 26394, 56484, 18186, 26417, 18803, 235611, 53972, 20662, 53867, 11350, 107045, 56705, 19401, 54126, 11488","Control.F-Acarbose.F_logCPM"
"R-MMU-1280215 (R-MMU-1280215) - Cytokine Signaling in Immune system",0.184738955823293,0.319538916146298,0.096240602328129,0.299362416054384,1.21182445278283,46,"18412, 14600, 226849, 16880, 21762, 19116, 20848, 17000, 103554, 16180, 26416, 17164, 12988, 26397, 11820, 21937, 16179, 67673, 230861, 56484, 16151, 67603, 22192, 26417, 18803, 56550, 20662, 16391, 69146, 67151, 20909","Control.F-Acarbose.F_logCPM"
"R-MMU-1280218 (R-MMU-1280218) - Adaptive Immune System",0.146,0.265638888888889,0.110564716336619,0.292434351534442,1.22770687982154,61,"12266, 14972, 13030, 13039, 12479, 68097, 226849, 22201, 21762, 66397, 22436, 22320, 103554, 56508, 12988, 216150, 18744, 12491, 69608, 67673, 107568, 74764, 24105, 16151, 56736, 99152, 16438, 22192, 18803, 19647, 15015, 56550, 218215, 170737, 20662, 15006, 67151, 20439, 20909, 280408, 70294, 268291, 50762, 21354, 56424, 18036","Control.F-Acarbose.F_logCPM"
"R-MMU-1428517 (R-MMU-1428517) - Aerobic respiration and respiratory electron transport",1.30537302710072e-07,2.85006444250324e-06,0.690132458796796,0.564554722619359,2.27907417243452,45,"11947, 11946, 16828, 110446, 12861, 76282, 22272, 66841, 22273, 66043, 68267, 66445, 226646, 12868, 66694, 17995, 11429, 170718, 67126, 104130, 269951, 12864, 18604, 66152, 75406, 71679, 17436, 66383, 67863, 228026, 68349, 28080","Control.F-Acarbose.F_logCPM"
