"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Comparison"
"R-MMU-109581 (R-MMU-109581) - Apoptosis",0.138138138138138,0.286604361370716,0.114266502484433,0.437914430917731,1.20846884827959,28,"68097, 12387, 13511, 109620, 11798, 16905, 26417, 234214, 22629, 11518, 69146, 12370, 12368, 227753, 12367, 106759, 56455, 26419, 12550, 72993, 12028, 54722, 12018, 171543","Control.F-Acarbose.F_logCPM"
"R-MMU-109582 (R-MMU-109582) - Hemostasis",0.03996003996004,0.118281718281718,0.224966093540314,0.387430155314884,1.19665582621222,106,"11657, 94175, 18405, 16000, 104009, 23945, 226849, 71660, 13601, 26365, 11465, 17319, 26416, 75396, 56508, 21767, 12988, 19039, 11820, 12491, 20501, 17254, 74764, 109821, 13052, 11931, 16438, 215449, 26417, 50915, 18803, 20194, 66866, 66082, 20662, 271457, 66053, 20911, 15353, 109552, 20909, 76088, 109711, 319899, 18406, 15170, 22340, 217864, 231871, 22612, 27999","Control.F-Acarbose.F_logCPM"
"R-MMU-109606 (R-MMU-109606) - Intrinsic Pathway for Apoptosis",0.321862348178138,0.463459617305771,0.0668966276500666,0.428638399877665,1.0954684170701,16,"68097, 11798, 26417, 22629, 69146, 12370, 12367, 56455, 26419, 12028, 54722, 12018, 171543","Control.F-Acarbose.F_logCPM"
"R-MMU-112314 (R-MMU-112314) - Neurotransmitter receptors and postsynaptic signal transmission",NA,NA,NA,-0.243057392224279,NA,21,"23859, 12322, 53623, 14402, 11472, 16517, 14708, 432530, 14677, 236915, 11438, 11444, 13821, 18795, 207565, 14809, 110902, 242425, 11771, 13383, 17920","Control.F-Acarbose.F_logCPM"
"R-MMU-112315 (R-MMU-112315) - Transmission across Chemical Synapses",0.95,0.989173663278833,0.0105706949179311,0.251305660214539,0.701775476317334,31,"12846, 20517, 14412, 20511, 17920, 13383, 11771, 22318, 242425, 110902, 14809, 207565","Control.F-Acarbose.F_logCPM"
"R-MMU-112316 (R-MMU-112316) - Neuronal System",0.965034965034965,0.989173663278833,0.0086840800745758,0.25451096076488,0.740266264188414,47,"12846, 20517, 14412, 20511, 16180, 234214, 17920, 13383, 226352, 11771, 67533, 14251, 22318, 26557, 242425, 110902, 233067, 14809, 15168, 207565, 18795, 26556, 84036","Control.F-Acarbose.F_logCPM"
"R-MMU-114608 (R-MMU-114608) - Platelet degranulation",0.011582997534153,0.0514285090516392,0.380730400722792,0.51100616875703,1.43221195305687,32,"11657, 94175, 18405, 16000, 104009, 71660, 13601, 11465, 75396, 21767, 19039, 11820, 12491","Control.F-Acarbose.F_logCPM"
"R-MMU-1169410 (R-MMU-1169410) - Antiviral mechanism by IFN-stimulated genes",0.777217741935484,0.849962259653583,0.024919740580511,0.320455950596278,0.833201765926315,18,"226849, 230861, 16151, 26417, 18803, 20892, 56417, 19106, 74153, 231655, 67951, 100038882, 24110, 17858, 26399, 15512, 66892","Control.F-Acarbose.F_logCPM"
"R-MMU-1257604 (R-MMU-1257604) - PIP3 activates AKT signaling",0.116883116883117,0.270292207792208,0.12563992130984,0.424620097364623,1.20772414161925,36,"13649, 226849, 14164, 103554, 16180, 11798, 16179, 56484, 67605, 26417, 54170, 14183, 67151, 56424, 20393, 13982, 66894, 18854","Control.F-Acarbose.F_logCPM"
"R-MMU-1266738 (R-MMU-1266738) - Developmental Biology",0.683316683316683,0.770561442789885,0.0310617758113358,0.307534038512703,0.939657609870049,89,"15516, 12606, 13649, 15519, 26396, 12387, 11465, 13511, 26416, 227937, 109620, 16480, 26394, 56484, 18186, 19699, 13430, 105148, 26417, 18803, 235611, 20662, 53867, 11771, 107045, 19401, 54126, 11488","Control.F-Acarbose.F_logCPM"
